Experiment,Real time 1 (s),User time 1 (s),Consumption 1 (J),Real time 2 (s),User time 2 (s),Consumption 2 (J),Real time 3 (s),User time 3 (s),Consumption 3 (J),Real time 4 (s),User time 4 (s),Consumption 4 (J),Real time 5 (s),User time 5 (s),Consumption 5 (J),Real time 6 (s),User time 6 (s),Consumption 6 (J),Real time 7 (s),User time 7 (s),Consumption 7 (J),Real time 8 (s),User time 8 (s),Consumption 8 (J),Real time 9 (s),User time 9 (s),Consumption 9 (J),Real time 10 (s),User time 10 (s),Consumption 10 (J),Real time 11 (s),User time 11 (s),Consumption 11 (J),Real time 12 (s),User time 12 (s),Consumption 12 (J),Real time 13 (s),User time 13 (s),Consumption 13 (J),Real time 14 (s),User time 14 (s),Consumption 14 (J),Real time 15 (s),User time 15 (s),Consumption 15 (J),Real time 16 (s),User time 16 (s),Consumption 16 (J),Real time 17 (s),User time 17 (s),Consumption 17 (J),Real time 18 (s),User time 18 (s),Consumption 18 (J),Real time 19 (s),User time 19 (s),Consumption 19 (J),Real time 20 (s),User time 20 (s),Consumption 20 (J),Real time 21 (s),User time 21 (s),Consumption 21 (J),Real time 22 (s),User time 22 (s),Consumption 22 (J),Real time 23 (s),User time 23 (s),Consumption 23 (J),Real time 24 (s),User time 24 (s),Consumption 24 (J),Real time 25 (s),User time 25 (s),Consumption 25 (J),Real time 26 (s),User time 26 (s),Consumption 26 (J),Real time 27 (s),User time 27 (s),Consumption 27 (J),Real time 28 (s),User time 28 (s),Consumption 28 (J),Real time 29 (s),User time 29 (s),Consumption 29 (J),Real time 30 (s),User time 30 (s),Consumption 30 (J),Real time 31 (s),User time 31 (s),Consumption 31 (J),Real time 32 (s),User time 32 (s),Consumption 32 (J),Real time 33 (s),User time 33 (s),Consumption 33 (J),Real time 34 (s),User time 34 (s),Consumption 34 (J),Real time 35 (s),User time 35 (s),Consumption 35 (J),Real time 36 (s),User time 36 (s),Consumption 36 (J),Real time 37 (s),User time 37 (s),Consumption 37 (J),Real time 38 (s),User time 38 (s),Consumption 38 (J),Real time 39 (s),User time 39 (s),Consumption 39 (J),Real time 40 (s),User time 40 (s),Consumption 40 (J),Real time 41 (s),User time 41 (s),Consumption 41 (J),Real time 42 (s),User time 42 (s),Consumption 42 (J),Real time 43 (s),User time 43 (s),Consumption 43 (J),Real time 44 (s),User time 44 (s),Consumption 44 (J),Real time 45 (s),User time 45 (s),Consumption 45 (J),Real time 46 (s),User time 46 (s),Consumption 46 (J),Real time 47 (s),User time 47 (s),Consumption 47 (J),Real time 48 (s),User time 48 (s),Consumption 48 (J),Real time 49 (s),User time 49 (s),Consumption 49 (J),Real time 50 (s),User time 50 (s),Consumption 50 (J),Mean Real time (s),Std Real time (s),Mean User time (s),Std User time (s),Std Consumption (J),Consumption (Mean Real) (J),Consumption (Mean User) (J)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,776.0,9228.0,4480.46,780.0,9291.0,4452.41,771.0,9233.0,4349.15,782.0,9351.0,4102.75,772.0,9245.0,4573.82,774.0,9266.0,4650.28,771.0,9250.0,4295.56,775.0,9243.0,4388.28,778.0,9296.0,4542.53,786.0,9351.0,4433.59,787.0,9355.0,2945.03,781.0,9351.0,3707.06,780.0,9311.0,2877.42,781.0,9287.0,2939.28,769.0,9233.0,3762.4,777.0,9273.0,2903.37,777.0,9280.0,2996.5,769.0,9215.0,2903.66,771.0,9228.0,2959.72,777.0,9269.0,2930.62,770.0,9234.0,2962.54,780.0,9299.0,3042.1,795.0,9451.0,2957.16,769.0,9246.0,2976.83,784.0,9320.0,2981.94,780.0,9304.0,2962.82,771.0,9252.0,3796.91,784.0,9291.0,2998.49,773.0,9241.0,2981.52,775.0,9282.0,2923.85,784.0,9264.0,3016.85,784.0,9311.0,2920.34,776.0,9292.0,2961.88,786.0,9335.0,3773.37,785.0,9340.0,2992.38,791.0,9365.0,2965.57,784.0,9329.0,2852.29,781.0,9300.0,3672.95,780.0,9303.0,3660.43,775.0,9249.0,3202.13,782.0,9280.0,2977.1,788.0,9359.0,2902.93,779.0,9332.0,3663.98,783.0,9342.0,2922.57,774.0,9219.0,2906.53,789.0,9403.0,2916.47,787.0,9379.0,2911.88,778.0,9288.0,2937.4,784.0,9302.0,2956.44,786.0,9345.0,2923.22,779.42,6.29,9296.26,51.51,607.08,43599.39,520016.55
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,430.0,5529.0,4722.4,437.0,5653.0,4905.56,437.0,5628.0,4836.35,436.0,5577.0,4617.47,443.0,5728.0,4577.34,437.0,5622.0,4270.92,446.0,5788.0,5013.04,436.0,5578.0,4440.67,436.0,5644.0,4365.1,437.0,5628.0,5089.08,432.0,5599.0,3464.25,454.0,5893.0,3023.38,430.0,5539.0,3991.72,455.0,5880.0,4049.77,452.0,5868.0,3902.13,435.0,5606.0,3995.33,446.0,5787.0,3377.07,435.0,5644.0,3053.14,434.0,5585.0,3985.91,438.0,5670.0,3985.65,445.0,5775.0,3134.62,439.0,5640.0,3860.36,444.0,5754.0,4161.22,441.0,5684.0,3215.04,449.0,5824.0,3831.25,435.0,5606.0,3288.68,434.0,5602.0,3145.5,438.0,5631.0,3147.53,437.0,5666.0,3991.75,433.0,5546.0,3108.36,444.0,5754.0,4008.54,451.0,5832.0,3290.35,443.0,5742.0,4031.26,433.0,5608.0,3147.82,450.0,5772.0,4099.0,458.0,5909.0,3936.97,450.0,5814.0,3185.25,450.0,5824.0,3880.85,438.0,5636.0,3893.94,452.0,5840.0,3264.0,447.0,5787.0,3269.85,431.0,5586.0,3249.59,443.0,5727.0,3159.84,437.0,5662.0,3101.39,451.0,5811.0,3164.98,442.0,5696.0,3209.58,432.0,5566.0,3230.48,448.0,5813.0,3451.01,442.0,5725.0,3157.45,436.0,5610.0,3252.7,441.18,7.35,5697.76,104.87,598.74,27578.96,356177.31
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,811.0,11703.0,4141.28,820.0,11790.0,5313.03,836.0,12010.0,4908.81,839.0,12036.0,5525.09,825.0,11812.0,5382.02,818.0,11761.0,5097.25,828.0,11880.0,5760.35,831.0,11972.0,5210.77,828.0,11860.0,5483.68,817.0,11759.0,5573.45,832.0,11870.0,3902.17,816.0,11728.0,3900.86,847.0,12118.0,4120.75,842.0,12031.0,3653.55,824.0,11833.0,4725.05,828.0,11848.0,3628.0,823.0,11780.0,4482.34,834.0,11919.0,3819.61,840.0,12017.0,4717.33,814.0,11715.0,3793.18,819.0,11755.0,3635.97,821.0,11756.0,4686.68,820.0,11806.0,3677.97,845.0,12078.0,4823.26,822.0,11804.0,3924.03,810.0,11662.0,3703.66,821.0,11774.0,3737.28,844.0,12049.0,4486.99,809.0,11658.0,3676.67,833.0,11887.0,4688.74,832.0,11904.0,4101.61,814.0,11695.0,3911.38,828.0,11837.0,4107.96,832.0,11887.0,3974.11,842.0,12016.0,3789.68,823.0,11773.0,4401.32,809.0,11641.0,4081.06,834.0,11914.0,4300.82,836.0,11962.0,3568.43,826.0,11862.0,3719.79,813.0,11710.0,4801.46,810.0,11662.0,3577.32,825.0,11808.0,4758.07,811.0,11698.0,3748.43,829.0,11859.0,4068.02,822.0,11822.0,3651.45,809.0,11646.0,4728.01,832.0,11906.0,4654.32,827.0,11879.0,3862.91,830.0,11883.0,3782.78,825.62,10.44,11840.7,122.32,630.68,59381.0,851617.68
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,439.0,6908.0,5776.5,442.0,6950.0,5859.94,452.0,7109.0,6307.44,422.0,6631.0,6387.29,444.0,6972.0,5825.54,446.0,7003.0,5772.15,428.0,6724.0,5965.17,436.0,6856.0,5966.43,423.0,6643.0,5880.15,447.0,7039.0,6238.92,457.0,7195.0,4252.38,463.0,7283.0,4018.35,444.0,6984.0,3864.69,459.0,7228.0,4133.9,475.0,7477.0,4815.27,459.0,7231.0,3705.22,452.0,7122.0,4963.11,472.0,7444.0,4195.04,468.0,7362.0,4063.53,475.0,7468.0,4317.9,469.0,7390.0,4400.8,465.0,7327.0,4722.57,448.0,7052.0,4273.5,457.0,7195.0,4082.74,455.0,7168.0,4774.58,453.0,7130.0,4171.4,453.0,7124.0,4414.56,457.0,7189.0,3858.41,453.0,7121.0,4099.57,461.0,7255.0,3981.28,457.0,7186.0,4819.85,461.0,7258.0,3652.1,479.0,7543.0,4692.51,469.0,7378.0,3711.7,479.0,7546.0,4880.26,450.0,7077.0,3929.8,454.0,7145.0,3866.92,463.0,7284.0,5048.55,460.0,7232.0,3876.76,458.0,7214.0,3934.77,490.0,7721.0,4197.51,476.0,7501.0,3926.25,452.0,7107.0,4894.07,490.0,7718.0,4236.02,462.0,7275.0,3854.84,487.0,7671.0,4877.47,462.0,7278.0,4208.62,457.0,7187.0,4165.7,487.0,7668.0,4133.54,478.0,7531.0,4014.06,458.9,15.73,7222.0,252.29,794.72,35183.81,553709.85
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3194.0,3191.0,4302.52,3206.0,3204.0,4169.52,3214.0,3211.0,4178.8,3215.0,3212.0,4330.73,3222.0,3219.0,4279.59,3204.0,3201.0,4147.21,3190.0,3187.0,4088.47,3231.0,3229.0,4146.43,3208.0,3205.0,4143.54,3209.0,3206.0,4155.64,3189.0,3186.0,2711.58,3228.0,3224.0,2714.08,3221.0,3218.0,2714.17,3215.0,3212.0,2715.61,3203.0,3200.0,2716.85,3214.0,3211.0,2718.23,3211.0,3208.0,2719.63,3216.0,3213.0,2720.4,3219.0,3216.0,2719.26,3216.0,3214.0,2717.67,3204.0,3200.0,2716.34,3211.0,3209.0,2716.23,3212.0,3209.0,2714.87,3193.0,3190.0,2714.69,3217.0,3213.0,2714.57,3201.0,3198.0,2713.99,3214.0,3211.0,2713.27,3193.0,3190.0,2713.62,3215.0,3211.0,2714.88,3205.0,3202.0,2714.97,3227.0,3224.0,2713.13,3196.0,3194.0,2713.54,3270.0,3265.0,2714.3,3188.0,3185.0,2714.1,3195.0,3192.0,2714.73,3217.0,3213.0,2714.18,3201.0,3197.0,2713.73,3214.0,3211.0,2713.93,3219.0,3215.0,2712.51,3211.0,3208.0,2712.74,3207.0,3204.0,2715.99,3240.0,3237.0,2716.42,3204.0,3202.0,2716.42,3185.0,3181.0,2716.93,3222.0,3219.0,2719.48,3206.0,3203.0,2718.67,3199.0,3196.0,2717.73,3217.0,3213.0,2718.33,3227.0,3223.0,2716.93,3215.0,3212.0,2715.76,3211.0,14.62,3207.88,14.43,598.46,161156.78,161000.19
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,2046.0,2043.0,4152.91,2017.0,2015.0,4155.73,1989.0,1986.0,4126.18,1999.0,1996.0,4159.25,1999.0,1996.0,4434.55,1984.0,1981.0,4455.93,2002.0,1999.0,3825.94,2004.0,2001.0,4054.11,2004.0,2001.0,4445.1,1988.0,1985.0,5002.23,1988.0,1985.0,2715.27,1996.0,1993.0,2714.87,2022.0,2019.0,2714.75,1993.0,1990.0,2714.13,2012.0,2009.0,2714.21,1997.0,1994.0,2715.45,1999.0,1996.0,2714.24,2012.0,2009.0,2714.38,2007.0,2004.0,2716.15,1998.0,1994.0,2715.57,1992.0,1989.0,2714.89,2000.0,1997.0,2713.75,1992.0,1990.0,2714.61,2005.0,2002.0,2714.91,2010.0,2007.0,2714.09,1990.0,1987.0,2714.43,2015.0,2012.0,2714.69,2001.0,1998.0,2715.27,2000.0,1997.0,2715.24,1991.0,1988.0,2714.58,2011.0,2008.0,2714.75,2003.0,1999.0,2714.34,1995.0,1991.0,2714.4,1989.0,1986.0,3497.46,1993.0,1989.0,2727.3,2001.0,1998.0,2716.63,2002.0,1999.0,2717.75,2008.0,2005.0,2718.53,1988.0,1984.0,2720.3,1994.0,1991.0,2721.03,1996.0,1993.0,2721.34,2011.0,2008.0,2720.45,1990.0,1987.0,2720.81,2006.0,2003.0,2719.95,2026.0,2024.0,2718.12,2000.0,1997.0,2718.14,2055.0,2053.0,2716.67,2009.0,2006.0,2715.71,1998.0,1995.0,2715.61,1991.0,1988.0,2715.98,2002.36,13.63,1999.34,13.81,648.8,101621.56,101468.29
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,632.0,7829.0,4474.88,630.0,7841.0,4894.77,650.0,8007.0,5092.02,641.0,7942.0,5160.83,646.0,8117.0,5113.15,630.0,7818.0,5069.86,639.0,7894.0,4511.93,635.0,7897.0,4657.51,640.0,7945.0,4983.65,657.0,8031.0,4690.71,636.0,7857.0,3350.62,623.0,7784.0,3257.92,648.0,7997.0,3316.91,641.0,7916.0,3000.41,646.0,7964.0,3251.86,633.0,7854.0,3117.83,629.0,7821.0,3369.92,632.0,7854.0,3086.62,636.0,7900.0,2994.1,625.0,7815.0,3289.69,641.0,7921.0,3068.01,623.0,7761.0,3336.46,640.0,7933.0,3304.04,634.0,7865.0,3068.51,634.0,7892.0,3262.75,628.0,7814.0,3213.42,640.0,7874.0,3128.93,635.0,7924.0,3388.3,632.0,7856.0,3223.58,635.0,7859.0,3247.05,628.0,7790.0,3277.02,639.0,7983.0,3320.68,649.0,8084.0,3047.17,631.0,7826.0,3295.29,639.0,7911.0,3306.48,640.0,7936.0,3182.12,643.0,7916.0,3081.89,630.0,7819.0,3766.27,645.0,8005.0,3087.41,636.0,7907.0,3129.96,652.0,8149.0,3181.38,635.0,7855.0,3236.32,643.0,7938.0,3106.36,645.0,8068.0,3414.56,640.0,7921.0,3099.69,647.0,8014.0,3383.46,637.0,7866.0,3112.09,634.0,7889.0,3121.6,650.0,8065.0,3036.89,629.0,7850.0,3259.98,637.66,7.72,7911.48,88.65,687.28,37701.19,467760.61
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,298.0,4265.0,5319.9,306.0,4394.0,5868.49,306.0,4399.0,5867.33,299.0,4284.0,6070.16,296.0,4229.0,5925.75,298.0,4270.0,5727.84,285.0,4060.0,5954.63,303.0,4358.0,6138.13,303.0,4337.0,6243.02,292.0,4179.0,5757.73,294.0,4209.0,3477.36,290.0,4139.0,3814.48,295.0,4230.0,3777.09,291.0,4164.0,3920.26,291.0,4165.0,3495.02,309.0,4434.0,3698.79,312.0,4468.0,3980.06,305.0,4366.0,3816.57,298.0,4263.0,3487.31,293.0,4193.0,3474.18,294.0,4204.0,3910.66,299.0,4281.0,4285.81,300.0,4293.0,3801.61,296.0,4235.0,4261.06,298.0,4264.0,3485.4,287.0,4098.0,3613.81,300.0,4310.0,3516.16,296.0,4239.0,3639.76,312.0,4500.0,3453.23,289.0,4131.0,3755.65,293.0,4194.0,3817.66,293.0,4186.0,3379.56,284.0,4055.0,3967.81,303.0,4341.0,3501.97,293.0,4195.0,3863.22,292.0,4180.0,3859.59,286.0,4090.0,3455.75,293.0,4189.0,3598.56,288.0,4103.0,3727.49,297.0,4260.0,3872.86,294.0,4216.0,3589.75,286.0,4074.0,3557.12,321.0,4616.0,3641.68,294.0,4215.0,3977.26,285.0,4056.0,3535.23,293.0,4183.0,3810.45,288.0,4123.0,3411.29,292.0,4170.0,3447.49,294.0,4203.0,3853.8,296.0,4240.0,3421.72,296.0,7.63,4237.0,117.8,913.65,20406.98,292109.39
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,750.0,10688.0,5880.91,738.0,10533.0,5961.37,745.0,10653.0,5810.26,762.0,10749.0,6104.05,761.0,10792.0,6036.51,751.0,10644.0,6118.92,763.0,10782.0,5996.38,746.0,10592.0,5976.35,783.0,11048.0,5986.4,730.0,10376.0,5940.41,753.0,10662.0,3897.0,745.0,10554.0,3913.66,744.0,10547.0,3825.78,749.0,10603.0,3911.12,754.0,10594.0,3843.87,734.0,10468.0,3860.63,754.0,10610.0,4008.41,758.0,10733.0,4407.17,743.0,10560.0,3675.42,750.0,10627.0,4330.22,759.0,10838.0,3881.26,746.0,10567.0,3912.07,742.0,10543.0,4180.08,756.0,10654.0,3544.5,748.0,10548.0,3957.82,742.0,10513.0,4051.8,752.0,10665.0,4474.03,750.0,10708.0,3609.67,747.0,10684.0,3971.88,754.0,10664.0,4059.35,753.0,10660.0,3984.3,745.0,10584.0,4067.86,740.0,10563.0,4292.86,755.0,10759.0,3526.97,751.0,10643.0,4102.01,747.0,10564.0,3868.36,762.0,10758.0,4330.79,753.0,10667.0,3708.37,733.0,10443.0,3927.74,730.0,10385.0,3826.69,755.0,10615.0,3641.02,748.0,10644.0,4064.31,754.0,10609.0,3621.59,756.0,10687.0,3880.97,743.0,10531.0,4484.39,771.0,10876.0,3919.93,752.0,10655.0,3766.06,751.0,10655.0,3788.0,755.0,10679.0,3862.76,735.0,10527.0,3521.56,749.96,9.81,10634.06,118.84,856.09,54325.56,770309.47
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,403.0,6341.0,5761.67,395.0,6220.0,5460.66,394.0,6208.0,6341.63,378.0,5952.0,6289.45,386.0,6067.0,6184.98,395.0,6202.0,6198.51,382.0,6010.0,6256.68,397.0,6243.0,6201.67,398.0,6260.0,6244.89,389.0,6112.0,6156.28,388.0,6104.0,3788.12,391.0,6147.0,3668.36,387.0,6082.0,3937.38,386.0,6071.0,4129.59,383.0,6022.0,3809.93,387.0,6081.0,3822.11,389.0,6112.0,4434.93,382.0,6001.0,3950.36,382.0,5992.0,4080.42,377.0,5932.0,4140.58,393.0,6182.0,4241.53,385.0,6056.0,4065.54,408.0,6415.0,3559.13,380.0,5970.0,4043.51,388.0,6096.0,3792.64,381.0,5985.0,4241.97,387.0,6089.0,3877.6,382.0,6011.0,4160.39,388.0,6106.0,3932.65,388.0,6092.0,3742.05,385.0,6062.0,3861.02,387.0,6090.0,3788.83,387.0,6089.0,4296.99,379.0,5959.0,3939.22,382.0,6008.0,3982.57,383.0,6024.0,4236.86,389.0,6110.0,4167.57,382.0,6007.0,4197.93,376.0,5918.0,4032.51,392.0,6161.0,4072.39,399.0,6269.0,4023.03,388.0,6100.0,3984.53,388.0,6106.0,4113.39,387.0,6081.0,4239.91,401.0,6307.0,3846.0,373.0,5854.0,4027.71,376.0,5907.0,3904.2,389.0,6107.0,4005.62,392.0,6172.0,4190.76,405.0,6371.0,3703.74,387.78,7.58,6097.26,120.11,877.35,28583.26,449429.01
