Name,Mean Consumption (J),Mean Real time (s),Mean User time (s)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,3356.3,779.42,9296.26
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,3750.71,441.18,5697.76
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,4315.38,825.62,11840.7
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,4600.19,458.9,7222.0
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3011.34,3211.0,3207.88
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,3045.05,2002.36,1999.34
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,3547.46,637.66,7911.48
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,4136.55,296.0,4237.0
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,4346.28,749.96,10634.06
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,4422.6,387.78,6097.26
qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,3264.42,2262.38,2259.28
qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,3110.08,993.64,990.68
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,3716.49,1173.54,15972.0
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,4518.24,494.36,7643.42
qdd-ifort-linux-FFTW-OMP-noStatic-Debug,4614.39,1315.78,19667.42
qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,4736.94,504.56,7887.66
qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,3339.31,4366.38,4362.94
qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,3079.56,1927.26,1924.38
qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,3967.52,1046.9,14545.02
qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,4529.25,314.06,4873.42
qdd-ifort-linux-MKL-OMP-noStatic-Debug,4578.99,1233.46,18379.42
qdd-ifort-linux-MKL-OMP-noStatic-noDebug,4564.63,396.08,6170.06
qdd-ifort-linux-MKL-noOMP-noStatic-Debug,3315.47,3375.74,3372.56
qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,3097.23,911.76,908.9
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,3671.25,1534.82,19795.8
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,4434.87,477.12,7380.56
qdd-ifx-linux-FFTW-OMP-noStatic-Debug,4662.98,1667.52,24079.18
qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,4689.97,500.46,7826.22
qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,3337.48,5423.02,5419.38
qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,3165.55,1932.06,1929.08
qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,3815.08,1366.24,17853.64
qdd-ifx-linux-MKL-OMP-DYN-noStatic-noDebug,4473.12,329.96,5122.32
qdd-ifx-linux-MKL-OMP-noStatic-Debug,4599.95,1560.56,22353.58
qdd-ifx-linux-MKL-OMP-noStatic-noDebug,4518.44,415.64,6476.52
qdd-ifx-linux-MKL-noOMP-noStatic-Debug,3383.73,4425.2,4421.58
qdd-ifx-linux-MKL-noOMP-noStatic-noDebug,3083.5,927.38,924.46
