,Experiment,Real time 1 (s),Real time 2 (s),Real time 3 (s),Real time 4 (s),Real time 5 (s),Real time 6 (s),Real time 7 (s),Real time 8 (s),Real time 9 (s),Real time 10 (s),Real time 11 (s),Real time 12 (s),Real time 13 (s),Real time 14 (s),Real time 15 (s),Real time 16 (s),Real time 17 (s),Real time 18 (s),Real time 19 (s),Real time 20 (s),Real time 21 (s),Real time 22 (s),Real time 23 (s),Real time 24 (s),Real time 25 (s),Real time 26 (s),Real time 27 (s),Real time 28 (s),Real time 29 (s),Real time 30 (s),Real time 31 (s),Real time 32 (s),Real time 33 (s),Real time 34 (s),Real time 35 (s),Real time 36 (s),Real time 37 (s),Real time 38 (s),Real time 39 (s),Real time 40 (s),Real time 41 (s),Real time 42 (s),Real time 43 (s),Real time 44 (s),Real time 45 (s),Real time 46 (s),Real time 47 (s),Real time 48 (s),Real time 49 (s),Real time 50 (s),Mean Real time (s),Variance Real time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,776.0,780.0,771.0,782.0,772.0,774.0,771.0,775.0,778.0,786.0,787.0,781.0,780.0,781.0,769.0,777.0,777.0,769.0,771.0,777.0,770.0,780.0,795.0,769.0,784.0,780.0,771.0,784.0,773.0,775.0,784.0,784.0,776.0,786.0,785.0,791.0,784.0,781.0,780.0,775.0,782.0,788.0,779.0,783.0,774.0,789.0,787.0,778.0,784.0,786.0,779.42,39.51387755102041
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,430.0,437.0,437.0,436.0,443.0,437.0,446.0,436.0,436.0,437.0,432.0,454.0,430.0,455.0,452.0,435.0,446.0,435.0,434.0,438.0,445.0,439.0,444.0,441.0,449.0,435.0,434.0,438.0,437.0,433.0,444.0,451.0,443.0,433.0,450.0,458.0,450.0,450.0,438.0,452.0,447.0,431.0,443.0,437.0,451.0,442.0,432.0,448.0,442.0,436.0,441.18,54.06897959183673
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,811.0,820.0,836.0,839.0,825.0,818.0,828.0,831.0,828.0,817.0,832.0,816.0,847.0,842.0,824.0,828.0,823.0,834.0,840.0,814.0,819.0,821.0,820.0,845.0,822.0,810.0,821.0,844.0,809.0,833.0,832.0,814.0,828.0,832.0,842.0,823.0,809.0,834.0,836.0,826.0,813.0,810.0,825.0,811.0,829.0,822.0,809.0,832.0,827.0,830.0,825.62,109.01591836734696
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,439.0,442.0,452.0,422.0,444.0,446.0,428.0,436.0,423.0,447.0,457.0,463.0,444.0,459.0,475.0,459.0,452.0,472.0,468.0,475.0,469.0,465.0,448.0,457.0,455.0,453.0,453.0,457.0,453.0,461.0,457.0,461.0,479.0,469.0,479.0,450.0,454.0,463.0,460.0,458.0,490.0,476.0,452.0,490.0,462.0,487.0,462.0,457.0,487.0,478.0,458.9,247.39795918367344
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3194.0,3206.0,3214.0,3215.0,3222.0,3204.0,3190.0,3231.0,3208.0,3209.0,3189.0,3228.0,3221.0,3215.0,3203.0,3214.0,3211.0,3216.0,3219.0,3216.0,3204.0,3211.0,3212.0,3193.0,3217.0,3201.0,3214.0,3193.0,3215.0,3205.0,3227.0,3196.0,3270.0,3188.0,3195.0,3217.0,3201.0,3214.0,3219.0,3211.0,3207.0,3240.0,3204.0,3185.0,3222.0,3206.0,3199.0,3217.0,3227.0,3215.0,3211.0,213.6734693877551
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,2046.0,2017.0,1989.0,1999.0,1999.0,1984.0,2002.0,2004.0,2004.0,1988.0,1988.0,1996.0,2022.0,1993.0,2012.0,1997.0,1999.0,2012.0,2007.0,1998.0,1992.0,2000.0,1992.0,2005.0,2010.0,1990.0,2015.0,2001.0,2000.0,1991.0,2011.0,2003.0,1995.0,1989.0,1993.0,2001.0,2002.0,2008.0,1988.0,1994.0,1996.0,2011.0,1990.0,2006.0,2026.0,2000.0,2055.0,2009.0,1998.0,1991.0,2002.36,185.78612244897963
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,632.0,630.0,650.0,641.0,646.0,630.0,639.0,635.0,640.0,657.0,636.0,623.0,648.0,641.0,646.0,633.0,629.0,632.0,636.0,625.0,641.0,623.0,640.0,634.0,634.0,628.0,640.0,635.0,632.0,635.0,628.0,639.0,649.0,631.0,639.0,640.0,643.0,630.0,645.0,636.0,652.0,635.0,643.0,645.0,640.0,647.0,637.0,634.0,650.0,629.0,637.66,59.575918367346944
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,298.0,306.0,306.0,299.0,296.0,298.0,285.0,303.0,303.0,292.0,294.0,290.0,295.0,291.0,291.0,309.0,312.0,305.0,298.0,293.0,294.0,299.0,300.0,296.0,298.0,287.0,300.0,296.0,312.0,289.0,293.0,293.0,284.0,303.0,293.0,292.0,286.0,293.0,288.0,297.0,294.0,286.0,321.0,294.0,285.0,293.0,288.0,292.0,294.0,296.0,296.0,58.244897959183675
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,750.0,738.0,745.0,762.0,761.0,751.0,763.0,746.0,783.0,730.0,753.0,745.0,744.0,749.0,754.0,734.0,754.0,758.0,743.0,750.0,759.0,746.0,742.0,756.0,748.0,742.0,752.0,750.0,747.0,754.0,753.0,745.0,740.0,755.0,751.0,747.0,762.0,753.0,733.0,730.0,755.0,748.0,754.0,756.0,743.0,771.0,752.0,751.0,755.0,735.0,749.96,96.16163265306123
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,403.0,395.0,394.0,378.0,386.0,395.0,382.0,397.0,398.0,389.0,388.0,391.0,387.0,386.0,383.0,387.0,389.0,382.0,382.0,377.0,393.0,385.0,408.0,380.0,388.0,381.0,387.0,382.0,388.0,388.0,385.0,387.0,387.0,379.0,382.0,383.0,389.0,382.0,376.0,392.0,399.0,388.0,388.0,387.0,401.0,373.0,376.0,389.0,392.0,405.0,387.78,57.3995918367347
