,Experiment,User time 1 (s),User time 2 (s),User time 3 (s),User time 4 (s),User time 5 (s),User time 6 (s),User time 7 (s),User time 8 (s),User time 9 (s),User time 10 (s),User time 11 (s),User time 12 (s),User time 13 (s),User time 14 (s),User time 15 (s),User time 16 (s),User time 17 (s),User time 18 (s),User time 19 (s),User time 20 (s),User time 21 (s),User time 22 (s),User time 23 (s),User time 24 (s),User time 25 (s),User time 26 (s),User time 27 (s),User time 28 (s),User time 29 (s),User time 30 (s),User time 31 (s),User time 32 (s),User time 33 (s),User time 34 (s),User time 35 (s),User time 36 (s),User time 37 (s),User time 38 (s),User time 39 (s),User time 40 (s),User time 41 (s),User time 42 (s),User time 43 (s),User time 44 (s),User time 45 (s),User time 46 (s),User time 47 (s),User time 48 (s),User time 49 (s),User time 50 (s),Mean User time (s),Variance User time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,9228.0,9291.0,9233.0,9351.0,9245.0,9266.0,9250.0,9243.0,9296.0,9351.0,9355.0,9351.0,9311.0,9287.0,9233.0,9273.0,9280.0,9215.0,9228.0,9269.0,9234.0,9299.0,9451.0,9246.0,9320.0,9304.0,9252.0,9291.0,9241.0,9282.0,9264.0,9311.0,9292.0,9335.0,9340.0,9365.0,9329.0,9300.0,9303.0,9249.0,9280.0,9359.0,9332.0,9342.0,9219.0,9403.0,9379.0,9288.0,9302.0,9345.0,9296.26,2653.5024489795924
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,5529.0,5653.0,5628.0,5577.0,5728.0,5622.0,5788.0,5578.0,5644.0,5628.0,5599.0,5893.0,5539.0,5880.0,5868.0,5606.0,5787.0,5644.0,5585.0,5670.0,5775.0,5640.0,5754.0,5684.0,5824.0,5606.0,5602.0,5631.0,5666.0,5546.0,5754.0,5832.0,5742.0,5608.0,5772.0,5909.0,5814.0,5824.0,5636.0,5840.0,5787.0,5586.0,5727.0,5662.0,5811.0,5696.0,5566.0,5813.0,5725.0,5610.0,5697.76,10997.165714285715
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,11703.0,11790.0,12010.0,12036.0,11812.0,11761.0,11880.0,11972.0,11860.0,11759.0,11870.0,11728.0,12118.0,12031.0,11833.0,11848.0,11780.0,11919.0,12017.0,11715.0,11755.0,11756.0,11806.0,12078.0,11804.0,11662.0,11774.0,12049.0,11658.0,11887.0,11904.0,11695.0,11837.0,11887.0,12016.0,11773.0,11641.0,11914.0,11962.0,11862.0,11710.0,11662.0,11808.0,11698.0,11859.0,11822.0,11646.0,11906.0,11879.0,11883.0,11840.7,14962.989795918365
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,6908.0,6950.0,7109.0,6631.0,6972.0,7003.0,6724.0,6856.0,6643.0,7039.0,7195.0,7283.0,6984.0,7228.0,7477.0,7231.0,7122.0,7444.0,7362.0,7468.0,7390.0,7327.0,7052.0,7195.0,7168.0,7130.0,7124.0,7189.0,7121.0,7255.0,7186.0,7258.0,7543.0,7378.0,7546.0,7077.0,7145.0,7284.0,7232.0,7214.0,7721.0,7501.0,7107.0,7718.0,7275.0,7671.0,7278.0,7187.0,7668.0,7531.0,7222.0,63649.30612244898
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3191.0,3204.0,3211.0,3212.0,3219.0,3201.0,3187.0,3229.0,3205.0,3206.0,3186.0,3224.0,3218.0,3212.0,3200.0,3211.0,3208.0,3213.0,3216.0,3214.0,3200.0,3209.0,3209.0,3190.0,3213.0,3198.0,3211.0,3190.0,3211.0,3202.0,3224.0,3194.0,3265.0,3185.0,3192.0,3213.0,3197.0,3211.0,3215.0,3208.0,3204.0,3237.0,3202.0,3181.0,3219.0,3203.0,3196.0,3213.0,3223.0,3212.0,3207.88,208.35265306122452
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,2043.0,2015.0,1986.0,1996.0,1996.0,1981.0,1999.0,2001.0,2001.0,1985.0,1985.0,1993.0,2019.0,1990.0,2009.0,1994.0,1996.0,2009.0,2004.0,1994.0,1989.0,1997.0,1990.0,2002.0,2007.0,1987.0,2012.0,1998.0,1997.0,1988.0,2008.0,1999.0,1991.0,1986.0,1989.0,1998.0,1999.0,2005.0,1984.0,1991.0,1993.0,2008.0,1987.0,2003.0,2024.0,1997.0,2053.0,2006.0,1995.0,1988.0,1999.34,190.67795918367347
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,7829.0,7841.0,8007.0,7942.0,8117.0,7818.0,7894.0,7897.0,7945.0,8031.0,7857.0,7784.0,7997.0,7916.0,7964.0,7854.0,7821.0,7854.0,7900.0,7815.0,7921.0,7761.0,7933.0,7865.0,7892.0,7814.0,7874.0,7924.0,7856.0,7859.0,7790.0,7983.0,8084.0,7826.0,7911.0,7936.0,7916.0,7819.0,8005.0,7907.0,8149.0,7855.0,7938.0,8068.0,7921.0,8014.0,7866.0,7889.0,8065.0,7850.0,7911.48,7859.601632653062
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,4265.0,4394.0,4399.0,4284.0,4229.0,4270.0,4060.0,4358.0,4337.0,4179.0,4209.0,4139.0,4230.0,4164.0,4165.0,4434.0,4468.0,4366.0,4263.0,4193.0,4204.0,4281.0,4293.0,4235.0,4264.0,4098.0,4310.0,4239.0,4500.0,4131.0,4194.0,4186.0,4055.0,4341.0,4195.0,4180.0,4090.0,4189.0,4103.0,4260.0,4216.0,4074.0,4616.0,4215.0,4056.0,4183.0,4123.0,4170.0,4203.0,4240.0,4237.0,13876.775510204081
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,10688.0,10533.0,10653.0,10749.0,10792.0,10644.0,10782.0,10592.0,11048.0,10376.0,10662.0,10554.0,10547.0,10603.0,10594.0,10468.0,10610.0,10733.0,10560.0,10627.0,10838.0,10567.0,10543.0,10654.0,10548.0,10513.0,10665.0,10708.0,10684.0,10664.0,10660.0,10584.0,10563.0,10759.0,10643.0,10564.0,10758.0,10667.0,10443.0,10385.0,10615.0,10644.0,10609.0,10687.0,10531.0,10876.0,10655.0,10655.0,10679.0,10527.0,10634.06,14122.87387755102
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,6341.0,6220.0,6208.0,5952.0,6067.0,6202.0,6010.0,6243.0,6260.0,6112.0,6104.0,6147.0,6082.0,6071.0,6022.0,6081.0,6112.0,6001.0,5992.0,5932.0,6182.0,6056.0,6415.0,5970.0,6096.0,5985.0,6089.0,6011.0,6106.0,6092.0,6062.0,6090.0,6089.0,5959.0,6008.0,6024.0,6110.0,6007.0,5918.0,6161.0,6269.0,6100.0,6106.0,6081.0,6307.0,5854.0,5907.0,6107.0,6172.0,6371.0,6097.26,14426.971836734694
10,qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,2317.0,2343.0,2327.0,2332.0,2308.0,2359.0,2399.0,2426.0,2426.0,2410.0,2235.0,2230.0,2229.0,2237.0,2233.0,2234.0,2231.0,2236.0,2234.0,2230.0,2233.0,2226.0,2231.0,2234.0,2241.0,2231.0,2237.0,2238.0,2236.0,2241.0,2233.0,2228.0,2230.0,2240.0,2236.0,2230.0,2237.0,2230.0,2227.0,2229.0,2234.0,2237.0,2229.0,2231.0,2223.0,2232.0,2240.0,2235.0,2230.0,2229.0,2259.28,3241.715918367347
11,qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,1067.0,1067.0,1024.0,995.0,1020.0,1020.0,1010.0,1016.0,1018.0,1018.0,979.0,985.0,978.0,982.0,985.0,979.0,976.0,977.0,981.0,984.0,986.0,979.0,982.0,974.0,983.0,978.0,980.0,985.0,991.0,984.0,982.0,986.0,995.0,981.0,974.0,977.0,978.0,983.0,982.0,997.0,980.0,992.0,981.0,982.0,983.0,975.0,976.0,984.0,981.0,982.0,990.68,430.01795918367344
12,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,15947.0,15973.0,15866.0,16041.0,15972.0,16006.0,16554.0,15974.0,15971.0,15929.0,15882.0,15897.0,15975.0,16060.0,15984.0,15951.0,16071.0,16043.0,15981.0,15906.0,16007.0,15906.0,15836.0,15968.0,15923.0,15989.0,15931.0,15788.0,16054.0,16011.0,15976.0,15931.0,15943.0,16011.0,15987.0,15931.0,16083.0,15945.0,15966.0,15937.0,15979.0,16016.0,15910.0,15903.0,16009.0,15848.0,15931.0,15902.0,15941.0,16055.0,15972.0,10863.387755102041
13,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,7772.0,7482.0,7478.0,7592.0,7629.0,7556.0,7661.0,7521.0,7808.0,7621.0,7542.0,7927.0,7675.0,7527.0,7495.0,7679.0,7764.0,7735.0,7751.0,7687.0,7521.0,7677.0,7471.0,7601.0,7744.0,7791.0,7628.0,7698.0,7533.0,7537.0,7647.0,7593.0,7714.0,7461.0,7623.0,7695.0,7706.0,7633.0,7455.0,7571.0,7733.0,7746.0,7763.0,7856.0,7750.0,7534.0,7599.0,7600.0,7823.0,7566.0,7643.42,12789.513877551019
14,qdd-ifort-linux-FFTW-OMP-noStatic-Debug,19759.0,19782.0,19692.0,19726.0,19533.0,19823.0,19586.0,19683.0,19791.0,19109.0,19785.0,19597.0,19736.0,19532.0,19582.0,19636.0,19726.0,19692.0,19607.0,19540.0,19793.0,19718.0,19835.0,19754.0,19482.0,19685.0,19680.0,19741.0,19561.0,19554.0,19622.0,19693.0,19646.0,19642.0,19631.0,19623.0,19780.0,19631.0,19818.0,19537.0,19676.0,19799.0,19456.0,19716.0,19939.0,19636.0,19581.0,19662.0,19814.0,19749.0,19667.42,16935.228163265307
15,qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,7352.0,7317.0,7376.0,7338.0,7483.0,7281.0,7306.0,7452.0,7548.0,7328.0,7943.0,7976.0,8300.0,8504.0,8033.0,8123.0,8022.0,8057.0,7980.0,7924.0,7827.0,8068.0,8096.0,7938.0,7916.0,8120.0,8123.0,7837.0,8121.0,7875.0,8166.0,8158.0,8090.0,7840.0,7935.0,7898.0,7835.0,7990.0,8030.0,7811.0,8002.0,7925.0,8183.0,8037.0,7962.0,7954.0,7969.0,7811.0,8336.0,7887.0,7887.66,85536.06571428571
16,qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,4472.0,4558.0,4576.0,4579.0,4643.0,4339.0,4332.0,4339.0,4337.0,4320.0,4322.0,4335.0,4326.0,4327.0,4333.0,4328.0,4336.0,4347.0,4347.0,4332.0,4346.0,4327.0,4345.0,4346.0,4345.0,4338.0,4340.0,4363.0,4331.0,4387.0,4368.0,4333.0,4349.0,4324.0,4343.0,4329.0,4334.0,4336.0,4372.0,4319.0,4344.0,4336.0,4332.0,4347.0,4341.0,4346.0,4354.0,4342.0,4343.0,4359.0,4362.94,5132.751428571428
17,qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,1892.0,1920.0,1928.0,1934.0,1901.0,1913.0,1929.0,1915.0,1923.0,1914.0,1933.0,1912.0,1919.0,1918.0,1919.0,1929.0,1913.0,1927.0,1924.0,1932.0,1922.0,1954.0,1922.0,1964.0,1932.0,1924.0,1922.0,1946.0,1924.0,1928.0,1901.0,1912.0,1900.0,1910.0,1923.0,1913.0,1920.0,1917.0,1986.0,1917.0,1932.0,1936.0,1932.0,1936.0,1932.0,1917.0,1911.0,1926.0,1936.0,1929.0,1924.38,245.05673469387756
18,qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,14453.0,14694.0,14494.0,14518.0,14516.0,14422.0,14747.0,18114.0,14411.0,14530.0,14732.0,14507.0,14353.0,14492.0,14371.0,14392.0,14450.0,14525.0,14496.0,14560.0,14407.0,14524.0,14685.0,14556.0,14450.0,14257.0,14343.0,14435.0,14412.0,14492.0,14535.0,14424.0,14516.0,14508.0,14478.0,14344.0,14511.0,14496.0,14481.0,14386.0,14384.0,14524.0,14376.0,14313.0,14356.0,14364.0,14526.0,14419.0,14430.0,14542.0,14545.02,275399.6934693878
19,qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,4819.0,4945.0,4834.0,4903.0,5033.0,4735.0,5006.0,4999.0,5129.0,4761.0,4851.0,4882.0,4734.0,4754.0,4896.0,4925.0,4626.0,4893.0,4876.0,4808.0,4864.0,4789.0,4837.0,5100.0,4798.0,4901.0,4792.0,4821.0,4934.0,4808.0,4916.0,4968.0,4933.0,4898.0,5078.0,4720.0,5048.0,4673.0,4839.0,4810.0,4907.0,5028.0,4878.0,4798.0,4642.0,5013.0,4813.0,4973.0,4795.0,4888.0,4873.42,12924.289387755103
20,qdd-ifort-linux-MKL-OMP-noStatic-Debug,18342.0,18273.0,18320.0,18286.0,18358.0,18372.0,18514.0,18377.0,18525.0,18293.0,18297.0,18272.0,18450.0,18591.0,18256.0,18282.0,18516.0,18238.0,18452.0,18484.0,18486.0,18425.0,18392.0,18542.0,18276.0,18280.0,18325.0,18390.0,18419.0,18533.0,18308.0,18626.0,18467.0,18392.0,18234.0,18161.0,18383.0,18323.0,18347.0,18314.0,18316.0,18550.0,18281.0,18300.0,18512.0,18462.0,18243.0,18298.0,18492.0,18396.0,18379.42,11664.983265306124
21,qdd-ifort-linux-MKL-OMP-noStatic-noDebug,6110.0,5882.0,6030.0,5993.0,5801.0,5891.0,6146.0,6148.0,6228.0,6019.0,6143.0,6047.0,6229.0,6168.0,6238.0,6235.0,6054.0,6182.0,6484.0,5900.0,6444.0,6016.0,6183.0,6224.0,6085.0,6030.0,6641.0,5977.0,6130.0,6433.0,6395.0,6230.0,6300.0,6222.0,6197.0,6266.0,6197.0,6318.0,6157.0,6123.0,6000.0,6341.0,6279.0,6060.0,6015.0,6507.0,6226.0,6364.0,6228.0,5987.0,6170.06,29728.05755102041
22,qdd-ifort-linux-MKL-noOMP-noStatic-Debug,3478.0,3553.0,3500.0,3447.0,3542.0,3536.0,3575.0,3506.0,3394.0,3393.0,3340.0,3338.0,3336.0,3343.0,3348.0,3347.0,3350.0,3353.0,3337.0,3340.0,3341.0,3349.0,3339.0,3347.0,3342.0,3348.0,3341.0,3350.0,3355.0,3338.0,3349.0,3346.0,3346.0,3341.0,3347.0,3339.0,3340.0,3341.0,3337.0,3338.0,3337.0,3337.0,3347.0,3335.0,3345.0,3341.0,3342.0,3336.0,3340.0,3338.0,3372.56,4438.577959183674
23,qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,937.0,964.0,936.0,936.0,945.0,926.0,937.0,932.0,945.0,928.0,911.0,904.0,899.0,897.0,900.0,899.0,903.0,897.0,903.0,895.0,908.0,899.0,903.0,904.0,899.0,912.0,898.0,897.0,902.0,901.0,898.0,908.0,902.0,902.0,901.0,908.0,901.0,901.0,899.0,902.0,899.0,905.0,902.0,900.0,900.0,901.0,896.0,901.0,900.0,902.0,908.9,258.2142857142857
24,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,19894.0,19815.0,19880.0,19886.0,19802.0,19765.0,19807.0,19844.0,19665.0,19679.0,19843.0,19630.0,19897.0,19701.0,19793.0,19706.0,19819.0,19746.0,19703.0,19766.0,19804.0,19745.0,19757.0,19791.0,19861.0,19776.0,19899.0,19839.0,19916.0,19770.0,19768.0,19845.0,19774.0,19766.0,19895.0,19867.0,19773.0,19913.0,19590.0,19803.0,19746.0,19903.0,19747.0,19868.0,19970.0,19691.0,19736.0,19757.0,19760.0,19819.0,19795.8,6353.755102040817
25,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,7489.0,7447.0,7456.0,7355.0,7532.0,7410.0,7303.0,7339.0,7475.0,7452.0,7403.0,7435.0,7313.0,7293.0,7289.0,7290.0,7519.0,7271.0,7402.0,7437.0,7356.0,7340.0,7435.0,7358.0,7397.0,7373.0,7339.0,7423.0,7323.0,7290.0,7416.0,7307.0,7215.0,7312.0,7427.0,7420.0,7367.0,7384.0,7298.0,7405.0,7515.0,7252.0,7463.0,7309.0,7400.0,7530.0,7368.0,7377.0,7393.0,7326.0,7380.56,5691.884081632653
