Name,Mean Consumption (J),Mean Real time (s),Mean User time (s)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,3489.23,702.0,8633.04
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,3902.83,365.28,5018.14
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,4281.07,764.8,10855.26
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,4469.58,404.22,6337.58
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3389.82,2685.84,2682.5
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,3388.09,1416.1,1413.14
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,3520.18,637.82,7922.38
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,4015.48,296.1,4237.18
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,4092.32,747.92,10596.42
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,4282.08,388.84,6114.94
qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,3018.74,2238.18,2235.02
qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,3032.5,986.6,983.68
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,3909.33,1094.88,15093.76
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,4462.09,413.82,6429.02
qdd-ifort-linux-FFTW-OMP-noStatic-Debug,4504.28,1258.16,18745.14
qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,4613.95,452.64,7059.02
qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,3379.13,3762.24,3758.8
qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,3220.56,1337.78,1334.88
qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,4015.35,1039.08,14439.66
qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,4423.95,313.92,4870.08
qdd-ifort-linux-MKL-OMP-noStatic-Debug,4430.8,1236.0,18416.18
qdd-ifort-linux-MKL-OMP-noStatic-noDebug,4525.75,393.34,6126.98
qdd-ifort-linux-MKL-noOMP-noStatic-Debug,3444.45,3349.02,3345.84
qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,3355.5,912.02,909.26
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,3765.81,1461.76,18997.64
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,4522.11,401.54,6239.7
qdd-ifx-linux-FFTW-OMP-noStatic-Debug,4517.33,1603.26,23052.1
qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,4517.08,443.18,6911.18
qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,3065.26,4808.76,4805.1
qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,3025.12,1341.68,1338.68
qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,3581.7,1365.1,17832.82
qdd-ifx-linux-MKL-OMP-DYN-noStatic-noDebug,4302.5,329.92,5122.82
qdd-ifx-linux-MKL-OMP-noStatic-Debug,4405.47,1559.24,22330.54
qdd-ifx-linux-MKL-OMP-noStatic-noDebug,4365.06,415.96,6479.62
qdd-ifx-linux-MKL-noOMP-noStatic-Debug,3069.63,4386.84,4383.34
qdd-ifx-linux-MKL-noOMP-noStatic-noDebug,2918.67,927.08,924.18
