,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,4180.03,4399.34,4033.29,4306.36,4538.8,4753.43,4587.37,4282.7,4448.56,4335.62,3028.15,3993.95,3078.2,3152.09,3147.17,2949.94,4037.56,3043.57,3140.36,3093.73,2919.83,3975.39,3127.13,2929.95,3967.61,3092.04,3828.34,3039.74,3051.64,3910.04,3106.89,3038.96,3469.13,3118.04,2964.08,2955.48,3025.81,3900.87,3262.41,3163.84,3101.94,3061.31,2967.09,3113.61,3054.39,3916.83,3098.57,3037.77,3658.96,3073.49,3489.227999999999,320800.7745306122
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,4814.67,4777.59,4430.69,4370.95,4829.63,4758.92,3801.19,5236.04,3925.82,4986.32,3501.42,4205.16,3625.08,3375.28,3811.56,3610.61,3617.64,3705.16,3339.2,4424.87,3673.75,3277.2,3398.31,3652.5,3637.33,3266.36,4545.82,3634.39,3736.32,4209.19,3779.28,3422.19,3508.41,4399.45,3817.39,3332.7,3148.01,4447.66,3240.4,4267.43,3344.18,4271.42,3225.28,3373.57,3207.32,4545.95,4351.31,3447.33,3369.93,4463.48,3902.8332000000005,314595.5955119999
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,5260.37,4825.33,4194.92,5293.92,4621.74,4762.27,4845.29,4584.42,4648.89,4850.49,3987.94,4239.84,4213.72,3622.52,4736.24,3763.36,4016.65,4727.82,4679.21,3419.6,4642.4,3545.87,4696.2,4131.6,3621.73,4664.65,3734.94,3741.61,4132.89,4062.54,4076.86,3668.29,4756.96,3751.48,4914.62,3482.06,4626.34,3704.16,3774.66,4748.86,4268.35,4134.27,4227.13,4053.18,3906.58,4329.61,3634.89,4978.94,3937.74,4809.49,4281.068799999998,248896.52097404076
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,5026.94,4966.23,5683.15,3987.7,4823.33,5617.68,4293.92,5511.72,4684.58,5442.47,4863.94,3823.21,4203.83,4274.65,4363.1,3737.96,4931.03,3721.71,4062.49,3767.11,4289.61,4357.18,4159.77,4213.7,4016.62,4698.8,3923.18,4648.94,4255.55,4431.55,5073.84,3873.68,5085.9,4365.68,4633.93,4324.13,4516.12,3681.8,4204.39,5261.77,4186.38,4324.42,4456.56,4123.58,4667.89,4183.45,4710.26,3916.78,4862.23,4244.58,4469.580400000001,259340.91902432652
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4066.17,4447.97,4429.61,4365.88,4436.2,4015.6,4334.88,4140.46,4316.96,4562.13,3578.11,3602.84,2802.47,3567.8,3607.58,2797.71,3583.43,3617.69,3611.04,3611.85,3612.77,3616.84,3567.64,3608.4,3618.84,3619.69,3627.69,3605.59,3622.85,3620.84,2749.17,2749.95,2751.69,2753.02,2753.18,3568.72,2797.31,2752.0,2751.21,2749.58,2748.5,2746.94,2748.59,2748.99,2748.37,2749.34,2750.03,2751.1,2752.3,2753.46,3389.819599999999,368779.2673875918
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4212.2,4370.67,4318.35,4179.97,4182.65,4023.24,4397.4,4430.69,4376.28,4367.64,3655.52,3613.05,3629.82,3632.93,3610.37,3632.24,2761.06,3620.28,3623.78,2794.15,3614.03,3614.56,3593.03,3639.78,3627.85,3621.0,3584.03,3614.15,3577.7,3617.22,2753.19,2753.47,2753.44,2755.55,2754.9,2753.27,2751.9,2750.06,2750.05,2748.8,2746.77,2747.92,2748.54,2750.75,3570.22,2760.99,2755.62,2754.4,2755.1,2753.69,3388.085399999999,359665.3914702448
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,4467.97,4394.81,4657.15,4483.83,3727.97,4371.4,4508.06,4518.85,4493.67,4485.66,3248.76,3310.37,3242.3,3291.71,3206.89,3129.93,3395.45,3842.41,3236.94,3210.16,3322.51,3212.36,3248.7,3296.13,3142.36,3324.44,3245.28,3242.8,3051.08,3394.96,3846.95,3331.08,3317.37,3372.06,3358.3,3457.63,3326.71,3297.6,3383.01,3212.94,3107.14,3234.45,3224.42,3280.59,3299.99,3219.66,3187.21,3361.02,3150.95,3335.0,3520.1798000000017,232742.91445914286
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,4707.56,4818.18,4799.82,4598.19,4955.36,3481.33,4914.05,4463.46,4624.57,4543.37,3628.22,4888.99,4833.76,4746.99,4948.25,3392.71,3619.52,3975.08,3573.06,3705.24,3906.53,3578.28,3696.33,4408.07,3617.18,3646.41,4107.5,3840.96,3841.7,3878.34,3857.49,3403.54,3860.08,3772.35,3873.3,3548.93,3639.19,3882.53,3717.03,3787.65,3677.35,3771.53,3780.2,3832.16,3929.28,3972.39,3700.83,3803.72,3471.57,3754.07,4015.4840000000004,232106.36592244892
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,4905.25,5057.8,4807.03,4906.71,4687.03,4530.03,4549.98,4749.55,4531.74,4666.24,4052.34,3923.65,4265.43,3756.63,4109.27,3915.74,4052.13,3590.68,4070.69,4007.1,3954.24,3661.58,4160.94,4044.95,4038.09,4054.55,3785.95,4107.52,3693.2,4101.75,3818.05,4044.47,3905.95,4014.28,3643.73,4132.42,3827.15,4093.78,3751.0,3957.94,3733.73,3811.47,4138.58,3692.77,3928.28,4093.57,3697.79,3947.08,3615.87,4030.44,4092.3228000000004,137562.19581240814
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,4931.01,4963.39,4847.04,4947.8,4955.7,4921.11,4550.63,5190.23,5266.72,5294.84,4047.24,4129.31,4510.63,3982.06,4332.57,3644.72,4233.07,3772.04,4291.7,3858.09,3735.21,4101.03,4245.86,4434.39,4243.14,4252.96,4174.78,4174.23,4154.68,3998.15,4088.29,4172.23,4213.8,4163.6,3971.93,4322.59,4145.85,3946.97,4479.53,4030.56,3957.03,3873.81,3905.58,4126.02,3924.42,4350.92,3828.03,4310.61,4417.51,3690.25,4282.0772,173436.9603675102
