,Experiment,Real time 1 (s),Real time 2 (s),Real time 3 (s),Real time 4 (s),Real time 5 (s),Real time 6 (s),Real time 7 (s),Real time 8 (s),Real time 9 (s),Real time 10 (s),Real time 11 (s),Real time 12 (s),Real time 13 (s),Real time 14 (s),Real time 15 (s),Real time 16 (s),Real time 17 (s),Real time 18 (s),Real time 19 (s),Real time 20 (s),Real time 21 (s),Real time 22 (s),Real time 23 (s),Real time 24 (s),Real time 25 (s),Real time 26 (s),Real time 27 (s),Real time 28 (s),Real time 29 (s),Real time 30 (s),Real time 31 (s),Real time 32 (s),Real time 33 (s),Real time 34 (s),Real time 35 (s),Real time 36 (s),Real time 37 (s),Real time 38 (s),Real time 39 (s),Real time 40 (s),Real time 41 (s),Real time 42 (s),Real time 43 (s),Real time 44 (s),Real time 45 (s),Real time 46 (s),Real time 47 (s),Real time 48 (s),Real time 49 (s),Real time 50 (s),Mean Real time (s),Variance Real time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,701.0,689.0,709.0,718.0,700.0,708.0,702.0,697.0,699.0,712.0,705.0,701.0,692.0,710.0,688.0,684.0,713.0,702.0,703.0,713.0,704.0,705.0,698.0,705.0,697.0,703.0,708.0,710.0,709.0,692.0,710.0,705.0,706.0,700.0,695.0,695.0,704.0,710.0,705.0,694.0,699.0,693.0,708.0,691.0,699.0,696.0,715.0,697.0,695.0,706.0,702.0,56.775510204081634
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,366.0,367.0,366.0,364.0,367.0,367.0,363.0,355.0,359.0,367.0,362.0,364.0,372.0,358.0,356.0,376.0,352.0,369.0,374.0,369.0,374.0,361.0,376.0,357.0,370.0,371.0,365.0,363.0,359.0,364.0,375.0,361.0,365.0,363.0,355.0,376.0,356.0,359.0,379.0,356.0,356.0,363.0,364.0,365.0,355.0,355.0,372.0,396.0,362.0,378.0,365.28,68.16489795918368
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,759.0,755.0,789.0,768.0,757.0,758.0,773.0,743.0,778.0,770.0,760.0,773.0,759.0,776.0,755.0,764.0,770.0,772.0,788.0,739.0,764.0,770.0,771.0,766.0,762.0,772.0,779.0,772.0,762.0,758.0,752.0,769.0,773.0,779.0,751.0,752.0,760.0,767.0,756.0,794.0,731.0,750.0,768.0,778.0,764.0,772.0,775.0,746.0,760.0,761.0,764.8,152.9795918367347
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,397.0,393.0,417.0,410.0,397.0,420.0,401.0,403.0,413.0,410.0,413.0,386.0,428.0,423.0,407.0,393.0,423.0,400.0,407.0,388.0,381.0,393.0,393.0,398.0,397.0,389.0,430.0,383.0,411.0,401.0,394.0,392.0,394.0,404.0,390.0,394.0,412.0,402.0,423.0,430.0,416.0,401.0,391.0,419.0,412.0,397.0,408.0,408.0,415.0,404.0,404.22,157.8077551020408
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,2660.0,2640.0,2659.0,2662.0,2652.0,2655.0,2649.0,2654.0,2650.0,2665.0,2612.0,2715.0,2744.0,2638.0,2764.0,2716.0,2682.0,2771.0,2634.0,2761.0,2740.0,2651.0,2767.0,2705.0,2690.0,2828.0,2633.0,2605.0,2617.0,2614.0,2618.0,2719.0,2790.0,2646.0,2777.0,2672.0,2701.0,2766.0,2655.0,2752.0,2723.0,2646.0,2765.0,2668.0,2709.0,2769.0,2620.0,2625.0,2616.0,2622.0,2685.84,3428.831020408164
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,1478.0,1445.0,1432.0,1423.0,1440.0,1429.0,1438.0,1432.0,1445.0,1424.0,1405.0,1423.0,1410.0,1402.0,1405.0,1403.0,1413.0,1413.0,1411.0,1402.0,1408.0,1410.0,1404.0,1412.0,1403.0,1407.0,1409.0,1402.0,1407.0,1409.0,1411.0,1402.0,1416.0,1417.0,1420.0,1411.0,1410.0,1412.0,1429.0,1404.0,1402.0,1413.0,1422.0,1422.0,1412.0,1418.0,1409.0,1406.0,1412.0,1413.0,1416.1,210.09183673469389
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,646.0,638.0,642.0,647.0,636.0,655.0,630.0,651.0,645.0,638.0,647.0,640.0,638.0,638.0,638.0,642.0,638.0,631.0,640.0,631.0,644.0,635.0,642.0,634.0,640.0,642.0,640.0,636.0,628.0,632.0,641.0,638.0,626.0,629.0,635.0,637.0,643.0,634.0,635.0,631.0,632.0,641.0,633.0,638.0,629.0,631.0,620.0,634.0,648.0,652.0,637.82,48.10979591836736
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,315.0,296.0,297.0,290.0,290.0,297.0,292.0,303.0,289.0,309.0,299.0,294.0,293.0,294.0,289.0,297.0,304.0,294.0,296.0,295.0,288.0,299.0,297.0,294.0,292.0,290.0,296.0,290.0,290.0,300.0,297.0,316.0,296.0,290.0,291.0,309.0,289.0,303.0,287.0,294.0,298.0,291.0,313.0,287.0,288.0,299.0,303.0,293.0,298.0,294.0,296.1,49.642857142857146
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,751.0,754.0,731.0,747.0,755.0,732.0,754.0,735.0,744.0,763.0,740.0,733.0,742.0,739.0,746.0,749.0,766.0,750.0,734.0,751.0,748.0,756.0,738.0,752.0,766.0,737.0,749.0,742.0,747.0,744.0,758.0,759.0,746.0,757.0,757.0,773.0,751.0,756.0,734.0,774.0,756.0,738.0,727.0,735.0,741.0,735.0,730.0,744.0,769.0,761.0,747.92,134.85061224489795
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,396.0,379.0,388.0,393.0,388.0,387.0,407.0,388.0,384.0,384.0,389.0,377.0,390.0,388.0,380.0,391.0,387.0,396.0,385.0,396.0,386.0,393.0,363.0,383.0,384.0,393.0,404.0,393.0,385.0,386.0,386.0,386.0,387.0,375.0,376.0,388.0,387.0,382.0,382.0,391.0,395.0,389.0,394.0,388.0,401.0,396.0,393.0,403.0,414.0,386.0,388.84,72.09632653061225
