,Experiment,User time 1 (s),User time 2 (s),User time 3 (s),User time 4 (s),User time 5 (s),User time 6 (s),User time 7 (s),User time 8 (s),User time 9 (s),User time 10 (s),User time 11 (s),User time 12 (s),User time 13 (s),User time 14 (s),User time 15 (s),User time 16 (s),User time 17 (s),User time 18 (s),User time 19 (s),User time 20 (s),User time 21 (s),User time 22 (s),User time 23 (s),User time 24 (s),User time 25 (s),User time 26 (s),User time 27 (s),User time 28 (s),User time 29 (s),User time 30 (s),User time 31 (s),User time 32 (s),User time 33 (s),User time 34 (s),User time 35 (s),User time 36 (s),User time 37 (s),User time 38 (s),User time 39 (s),User time 40 (s),User time 41 (s),User time 42 (s),User time 43 (s),User time 44 (s),User time 45 (s),User time 46 (s),User time 47 (s),User time 48 (s),User time 49 (s),User time 50 (s),Mean User time (s),Variance User time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,8598.0,8498.0,8662.0,8822.0,8584.0,8683.0,8641.0,8551.0,8563.0,8772.0,8645.0,8621.0,8594.0,8673.0,8543.0,8488.0,8743.0,8628.0,8582.0,8701.0,8639.0,8705.0,8581.0,8614.0,8571.0,8613.0,8676.0,8756.0,8641.0,8620.0,8732.0,8711.0,8699.0,8625.0,8613.0,8555.0,8634.0,8730.0,8689.0,8556.0,8631.0,8571.0,8669.0,8522.0,8587.0,8586.0,8732.0,8602.0,8579.0,8621.0,8633.04,5192.284081632653
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,5030.0,5035.0,5027.0,4993.0,5045.0,5051.0,4978.0,4854.0,4930.0,5057.0,4968.0,5000.0,5130.0,4904.0,4880.0,5174.0,4819.0,5065.0,5148.0,5081.0,5148.0,4953.0,5181.0,4880.0,5097.0,5085.0,5020.0,4994.0,4929.0,4999.0,5154.0,4956.0,5007.0,4989.0,4867.0,5171.0,4876.0,4936.0,5239.0,4887.0,4886.0,4988.0,5016.0,5024.0,4854.0,4852.0,5114.0,5482.0,4960.0,5194.0,5018.14,15419.184081632651
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,10716.0,10721.0,11208.0,10880.0,10720.0,10750.0,11021.0,10538.0,11067.0,10873.0,10764.0,10990.0,10761.0,11015.0,10766.0,10792.0,10973.0,10950.0,11170.0,10558.0,10859.0,10925.0,10932.0,10878.0,10860.0,10906.0,11061.0,10942.0,10799.0,10770.0,10643.0,10862.0,10990.0,11081.0,10628.0,10698.0,10812.0,10841.0,10748.0,11242.0,10415.0,10680.0,10896.0,11040.0,10857.0,10921.0,10987.0,10614.0,10814.0,10829.0,10855.26,28953.86979591837
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,6215.0,6154.0,6541.0,6428.0,6220.0,6594.0,6290.0,6310.0,6484.0,6440.0,6469.0,6060.0,6716.0,6628.0,6380.0,6157.0,6637.0,6271.0,6381.0,6088.0,5959.0,6164.0,6165.0,6240.0,6222.0,6087.0,6754.0,5996.0,6456.0,6289.0,6176.0,6143.0,6172.0,6336.0,6116.0,6169.0,6454.0,6303.0,6639.0,6755.0,6524.0,6291.0,6118.0,6572.0,6462.0,6217.0,6403.0,6399.0,6509.0,6326.0,6337.58,40390.86081632653
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,2656.0,2638.0,2656.0,2659.0,2649.0,2652.0,2645.0,2651.0,2647.0,2661.0,2609.0,2712.0,2741.0,2635.0,2761.0,2713.0,2680.0,2767.0,2631.0,2758.0,2736.0,2648.0,2763.0,2701.0,2687.0,2824.0,2630.0,2602.0,2614.0,2612.0,2614.0,2716.0,2785.0,2643.0,2774.0,2668.0,2698.0,2761.0,2652.0,2748.0,2720.0,2643.0,2760.0,2664.0,2706.0,2766.0,2617.0,2621.0,2612.0,2619.0,2682.5,3397.3571428571427
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,1475.0,1442.0,1429.0,1420.0,1437.0,1426.0,1435.0,1430.0,1442.0,1422.0,1402.0,1420.0,1407.0,1399.0,1402.0,1401.0,1411.0,1410.0,1408.0,1400.0,1405.0,1407.0,1401.0,1409.0,1400.0,1404.0,1407.0,1399.0,1404.0,1407.0,1408.0,1398.0,1413.0,1413.0,1419.0,1407.0,1406.0,1409.0,1426.0,1401.0,1398.0,1410.0,1418.0,1419.0,1409.0,1415.0,1405.0,1403.0,1409.0,1410.0,1413.14,211.55142857142854
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,8015.0,7910.0,7950.0,8004.0,7879.0,8206.0,7848.0,8010.0,8004.0,7925.0,8039.0,7957.0,7920.0,7939.0,7883.0,7986.0,7972.0,7876.0,7870.0,7831.0,8064.0,7921.0,7923.0,7858.0,7982.0,7984.0,7909.0,7856.0,7868.0,7871.0,7958.0,7922.0,7811.0,7924.0,7863.0,7885.0,7953.0,7859.0,7892.0,7844.0,7855.0,7993.0,7898.0,7893.0,7823.0,7843.0,7774.0,7860.0,8007.0,8002.0,7922.38,5993.301632653061
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,4518.0,4246.0,4265.0,4139.0,4147.0,4255.0,4173.0,4336.0,4122.0,4426.0,4273.0,4203.0,4188.0,4218.0,4131.0,4251.0,4355.0,4210.0,4248.0,4214.0,4101.0,4282.0,4256.0,4195.0,4182.0,4145.0,4227.0,4141.0,4146.0,4287.0,4252.0,4565.0,4242.0,4140.0,4156.0,4440.0,4139.0,4341.0,4102.0,4203.0,4263.0,4154.0,4483.0,4103.0,4115.0,4290.0,4318.0,4188.0,4272.0,4213.0,4237.18,11554.762857142858
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,10648.0,10725.0,10390.0,10541.0,10698.0,10454.0,10650.0,10426.0,10534.0,10765.0,10529.0,10441.0,10520.0,10442.0,10583.0,10551.0,10797.0,10605.0,10422.0,10586.0,10581.0,10750.0,10474.0,10644.0,10825.0,10456.0,10609.0,10507.0,10586.0,10533.0,10688.0,10700.0,10528.0,10688.0,10705.0,10899.0,10697.0,10670.0,10456.0,10900.0,10641.0,10552.0,10419.0,10453.0,10556.0,10494.0,10410.0,10579.0,10795.0,10719.0,10596.42,17083.309795918365
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,6234.0,5965.0,6097.0,6180.0,6113.0,6094.0,6410.0,6108.0,6043.0,6036.0,6115.0,5927.0,6125.0,6099.0,5967.0,6157.0,6091.0,6221.0,6059.0,6229.0,6069.0,6178.0,5698.0,6008.0,6036.0,6184.0,6360.0,6176.0,6065.0,6078.0,6063.0,6081.0,6092.0,5897.0,5889.0,6097.0,6083.0,6007.0,6007.0,6148.0,6214.0,6121.0,6197.0,6096.0,6299.0,6227.0,6179.0,6350.0,6504.0,6074.0,6114.94,18406.22081632653
