Experiment,Real time 1 (s),User time 1 (s),Consumption 1 (J),Real time 2 (s),User time 2 (s),Consumption 2 (J),Real time 3 (s),User time 3 (s),Consumption 3 (J),Real time 4 (s),User time 4 (s),Consumption 4 (J),Real time 5 (s),User time 5 (s),Consumption 5 (J),Real time 6 (s),User time 6 (s),Consumption 6 (J),Real time 7 (s),User time 7 (s),Consumption 7 (J),Real time 8 (s),User time 8 (s),Consumption 8 (J),Real time 9 (s),User time 9 (s),Consumption 9 (J),Real time 10 (s),User time 10 (s),Consumption 10 (J),Real time 11 (s),User time 11 (s),Consumption 11 (J),Real time 12 (s),User time 12 (s),Consumption 12 (J),Real time 13 (s),User time 13 (s),Consumption 13 (J),Real time 14 (s),User time 14 (s),Consumption 14 (J),Real time 15 (s),User time 15 (s),Consumption 15 (J),Real time 16 (s),User time 16 (s),Consumption 16 (J),Real time 17 (s),User time 17 (s),Consumption 17 (J),Real time 18 (s),User time 18 (s),Consumption 18 (J),Real time 19 (s),User time 19 (s),Consumption 19 (J),Real time 20 (s),User time 20 (s),Consumption 20 (J),Real time 21 (s),User time 21 (s),Consumption 21 (J),Real time 22 (s),User time 22 (s),Consumption 22 (J),Real time 23 (s),User time 23 (s),Consumption 23 (J),Real time 24 (s),User time 24 (s),Consumption 24 (J),Real time 25 (s),User time 25 (s),Consumption 25 (J),Real time 26 (s),User time 26 (s),Consumption 26 (J),Real time 27 (s),User time 27 (s),Consumption 27 (J),Real time 28 (s),User time 28 (s),Consumption 28 (J),Real time 29 (s),User time 29 (s),Consumption 29 (J),Real time 30 (s),User time 30 (s),Consumption 30 (J),Real time 31 (s),User time 31 (s),Consumption 31 (J),Real time 32 (s),User time 32 (s),Consumption 32 (J),Real time 33 (s),User time 33 (s),Consumption 33 (J),Real time 34 (s),User time 34 (s),Consumption 34 (J),Real time 35 (s),User time 35 (s),Consumption 35 (J),Real time 36 (s),User time 36 (s),Consumption 36 (J),Real time 37 (s),User time 37 (s),Consumption 37 (J),Real time 38 (s),User time 38 (s),Consumption 38 (J),Real time 39 (s),User time 39 (s),Consumption 39 (J),Real time 40 (s),User time 40 (s),Consumption 40 (J),Real time 41 (s),User time 41 (s),Consumption 41 (J),Real time 42 (s),User time 42 (s),Consumption 42 (J),Real time 43 (s),User time 43 (s),Consumption 43 (J),Real time 44 (s),User time 44 (s),Consumption 44 (J),Real time 45 (s),User time 45 (s),Consumption 45 (J),Real time 46 (s),User time 46 (s),Consumption 46 (J),Real time 47 (s),User time 47 (s),Consumption 47 (J),Real time 48 (s),User time 48 (s),Consumption 48 (J),Real time 49 (s),User time 49 (s),Consumption 49 (J),Real time 50 (s),User time 50 (s),Consumption 50 (J),Mean Real time (s),Std Real time (s),Mean User time (s),Std User time (s),Std Consumption (J),Consumption (Mean Real) (J),Consumption (Mean User) (J)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,1158.0,13082.0,4778.59,1150.0,13015.0,4787.03,1166.0,13228.0,4778.53,1164.0,13092.0,4577.33,1157.0,13067.0,4717.56,1157.0,13101.0,4405.79,1164.0,13099.0,4841.27,1158.0,13033.0,4550.64,1153.0,13010.0,4558.61,1154.0,13028.0,4668.51,1153.0,13016.0,3005.8,1159.0,13102.0,2966.68,1167.0,13093.0,2924.68,1166.0,13080.0,3025.58,1150.0,13027.0,3009.52,1166.0,13144.0,2948.23,1151.0,12987.0,3020.68,1145.0,12953.0,2955.03,1161.0,13137.0,2959.54,1155.0,13058.0,3222.29,1156.0,13069.0,2978.06,1164.0,13145.0,2964.29,1156.0,13021.0,2917.7,1150.0,12987.0,2915.0,1161.0,13105.0,3765.45,1155.0,13075.0,2979.63,1169.0,13221.0,3007.87,1155.0,13000.0,3764.83,1162.0,13075.0,2905.91,1154.0,13056.0,3791.94,1171.0,13156.0,2882.9,1155.0,13071.0,3513.15,1154.0,13041.0,3321.6,1157.0,13072.0,3828.51,1168.0,13186.0,2882.0,1153.0,13071.0,3575.69,1158.0,13106.0,3796.49,1161.0,13148.0,3754.06,1154.0,13050.0,3753.91,1156.0,13101.0,3022.17,1159.0,13095.0,2922.03,1147.0,13005.0,3795.08,1155.0,13017.0,2837.67,1159.0,13104.0,2940.92,1153.0,13026.0,3795.65,1164.0,13102.0,3013.59,1160.0,13117.0,3749.0,1167.0,13130.0,2895.68,1151.0,12989.0,3801.8,1152.0,13020.0,3774.01,1157.8,6.02,13074.26,59.68,670.55,68135.94,769413.58
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,1148.0,12988.0,4849.76,1162.0,13129.0,5292.84,1158.0,13130.0,5186.94,1158.0,13062.0,5391.32,1164.0,13116.0,5257.5,1159.0,13097.0,5139.73,1161.0,13132.0,5466.09,1154.0,13045.0,5377.05,1147.0,12963.0,5516.15,1158.0,13096.0,5385.71,1158.0,13054.0,3749.2,1155.0,13019.0,3764.07,1164.0,13079.0,3748.32,1158.0,13126.0,3765.75,1154.0,13052.0,3002.08,1163.0,13118.0,3801.91,1156.0,13058.0,3771.53,1157.0,13037.0,3016.14,1164.0,13184.0,2977.41,1156.0,13068.0,3031.68,1158.0,13074.0,3016.12,1168.0,13190.0,2968.41,1150.0,13019.0,2946.29,1156.0,13080.0,3005.33,1157.0,13079.0,2936.2,1144.0,12994.0,2962.25,1176.0,13219.0,2993.06,1157.0,13097.0,2963.17,1145.0,13015.0,2950.04,1157.0,13061.0,2927.61,1151.0,13044.0,3032.5,1155.0,13057.0,3020.44,1159.0,13077.0,3023.79,1152.0,13025.0,3026.78,1160.0,13091.0,3148.67,1153.0,13066.0,2981.95,1148.0,13015.0,2962.58,1166.0,13142.0,2909.14,1155.0,13060.0,2887.74,1151.0,13011.0,3900.88,1163.0,13139.0,3799.39,1159.0,13055.0,2993.88,1161.0,13113.0,3002.66,1153.0,13082.0,2878.0,1156.0,13080.0,2962.79,1157.0,13075.0,2947.38,1156.0,13048.0,2955.04,1159.0,13124.0,2997.73,1166.0,13198.0,3005.0,1165.0,13149.0,3043.06,1157.34,6.06,13080.64,54.94,917.81,68915.38,778904.41
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,1280.0,16773.0,6064.86,1289.0,16826.0,5833.2,1284.0,16819.0,6317.8,1278.0,16742.0,6147.38,1296.0,16922.0,6014.8,1270.0,16643.0,5843.64,1292.0,16949.0,5817.89,1281.0,16804.0,6155.3,1286.0,16835.0,5890.66,1300.0,17004.0,5402.52,1274.0,16701.0,3916.53,1268.0,16656.0,3449.18,1283.0,16719.0,3708.29,1277.0,16738.0,4086.23,1278.0,16749.0,3510.28,1287.0,16914.0,4463.08,1279.0,16765.0,3545.14,1290.0,16940.0,4423.98,1283.0,16781.0,3618.44,1284.0,16824.0,3805.91,1291.0,16930.0,4666.77,1270.0,16642.0,4986.97,1286.0,16768.0,4496.85,1283.0,16821.0,4685.36,1281.0,16791.0,4958.4,1295.0,16984.0,4809.33,1284.0,16855.0,4702.74,1294.0,16988.0,4781.43,1300.0,17045.0,4815.83,1278.0,16745.0,4559.28,1283.0,16806.0,5267.09,1292.0,16961.0,4619.07,1291.0,16956.0,4776.53,1285.0,16834.0,4690.76,1276.0,16729.0,4904.02,1273.0,16679.0,4234.27,1276.0,16752.0,4554.69,1274.0,16690.0,5408.01,1271.0,16627.0,4154.84,1290.0,16949.0,4466.06,1284.0,16831.0,3630.19,1281.0,16772.0,4593.21,1298.0,16953.0,3498.78,1292.0,16902.0,4526.55,1302.0,17005.0,4366.51,1288.0,16815.0,4386.66,1287.0,16854.0,3878.18,1305.0,17057.0,3598.6,1301.0,17075.0,3572.58,1291.0,16920.0,3719.13,1285.22,9.07,16836.8,117.23,821.78,99529.06,1303863.12
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,1299.0,17086.0,6235.44,1268.0,16636.0,5655.34,1275.0,16738.0,5146.57,1311.0,17197.0,4808.03,1298.0,17009.0,5198.35,1270.0,16635.0,5282.57,1285.0,16813.0,5181.64,1291.0,16891.0,6194.93,1283.0,16805.0,4915.63,1288.0,16876.0,5693.75,1287.0,16874.0,4454.09,1284.0,16843.0,3678.76,1287.0,16879.0,3524.94,1295.0,17037.0,4511.07,1283.0,16816.0,3438.53,1268.0,16631.0,4416.61,1280.0,16769.0,3465.38,1291.0,16856.0,4364.92,1285.0,16813.0,3752.9,1277.0,16729.0,4452.04,1272.0,16709.0,3484.62,1292.0,16933.0,4423.07,1284.0,16864.0,4180.26,1272.0,16682.0,3635.56,1279.0,16754.0,4377.76,1280.0,16765.0,4417.88,1277.0,16767.0,3680.69,1296.0,17043.0,4555.77,1288.0,16819.0,3730.41,1270.0,16668.0,4160.65,1284.0,16878.0,3799.09,1273.0,16701.0,3784.57,1288.0,16884.0,3639.96,1290.0,16896.0,4543.75,1282.0,16799.0,3852.19,1298.0,16933.0,3530.9,1274.0,16710.0,3975.54,1301.0,17080.0,3541.81,1275.0,16725.0,4567.63,1275.0,16720.0,3814.87,1291.0,16947.0,3789.42,1299.0,17033.0,3488.2,1284.0,16838.0,4528.82,1277.0,16748.0,3837.05,1274.0,16679.0,3524.97,1265.0,16632.0,3438.57,1296.0,17001.0,3897.68,1290.0,16888.0,3976.49,1269.0,16666.0,3496.76,1270.0,16655.0,4509.38,1283.4,10.45,16827.0,136.31,727.85,90931.38,1192225.54
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4519.0,4516.0,4156.76,4482.0,4479.0,4154.31,4496.0,4492.0,4126.9,4494.0,4490.0,4292.9,4502.0,4499.0,4324.71,4474.0,4470.0,4266.21,4507.0,4504.0,3907.96,4491.0,4487.0,4186.56,4513.0,4509.0,5241.25,4497.0,4493.0,4229.49,4538.0,4535.0,2715.74,4478.0,4475.0,2717.8,4502.0,4499.0,2718.9,4485.0,4481.0,2719.62,4493.0,4489.0,2718.93,4487.0,4483.0,2719.73,4497.0,4494.0,2720.17,4476.0,4472.0,2720.9,4475.0,4471.0,2719.49,4476.0,4472.0,2721.85,4483.0,4479.0,2720.57,4474.0,4470.0,2721.23,4487.0,4483.0,2721.78,4485.0,4482.0,2721.74,4500.0,4497.0,2720.88,4482.0,4479.0,2720.63,4483.0,4480.0,2720.71,4483.0,4479.0,2720.53,4487.0,4483.0,2718.5,4483.0,4479.0,2718.94,4481.0,4478.0,2719.21,4485.0,4481.0,2718.79,4494.0,4491.0,2718.34,4465.0,4461.0,2718.91,4479.0,4475.0,2718.24,4484.0,4481.0,2718.34,4480.0,4477.0,2718.83,4501.0,4497.0,2718.11,4478.0,4474.0,2717.76,4514.0,4511.0,2717.46,4482.0,4478.0,2717.62,4491.0,4488.0,2718.21,4479.0,4475.0,2718.14,4489.0,4486.0,2718.15,4472.0,4469.0,2717.79,4519.0,4516.0,2719.1,4498.0,4494.0,2718.95,4497.0,4494.0,2717.66,4479.0,4475.0,2718.36,4492.0,4489.0,2717.85,4489.76,14.01,4486.22,14.2,652.14,226959.63,226780.68
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4508.0,4506.0,4545.78,4486.0,4482.0,4446.65,4502.0,4498.0,4186.92,4512.0,4509.0,4323.21,4501.0,4498.0,4798.12,4488.0,4485.0,4648.39,4497.0,4494.0,4236.03,4493.0,4490.0,4586.7,4497.0,4494.0,4527.83,4500.0,4497.0,4532.96,4485.0,4482.0,2718.31,4508.0,4505.0,2718.93,4492.0,4488.0,2717.85,4481.0,4478.0,2716.86,4464.0,4461.0,2718.17,4481.0,4478.0,2718.22,4484.0,4480.0,2718.51,4474.0,4471.0,2717.56,4477.0,4474.0,2719.52,4488.0,4484.0,2718.5,4474.0,4470.0,2719.49,4473.0,4470.0,2719.16,4482.0,4479.0,2720.18,4487.0,4484.0,2721.21,4487.0,4484.0,2721.32,4489.0,4485.0,2721.06,4494.0,4491.0,2720.98,4473.0,4469.0,2721.47,4498.0,4495.0,2721.21,4478.0,4475.0,2720.93,4472.0,4469.0,2719.93,4499.0,4496.0,2720.18,4485.0,4481.0,2719.19,4474.0,4471.0,2719.19,4490.0,4486.0,2719.15,4475.0,4471.0,2719.91,4471.0,4467.0,2721.35,4476.0,4472.0,2718.21,4493.0,4490.0,2717.73,4485.0,4482.0,2717.58,4486.0,4482.0,2717.76,4485.0,4482.0,2718.35,4530.0,4526.0,2717.95,4474.0,4471.0,2717.39,4483.0,4479.0,2717.81,4498.0,4495.0,2718.13,4477.0,4474.0,2717.86,4498.0,4494.0,2718.08,4495.0,4491.0,2718.09,4487.0,4483.0,2717.83,4487.72,12.47,4484.36,12.52,717.44,229761.84,229589.81
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,1017.0,11683.0,5613.25,1016.0,11676.0,5859.96,998.0,11507.0,5996.61,1005.0,11628.0,5928.55,995.0,11472.0,5746.45,1008.0,11606.0,5984.42,1014.0,11639.0,6113.87,1028.0,11850.0,6094.35,1011.0,11640.0,6046.73,1008.0,11632.0,5901.96,1010.0,11653.0,3348.4,1007.0,11565.0,3047.98,997.0,11507.0,3100.87,1013.0,11623.0,3008.29,1013.0,11690.0,3001.01,1001.0,11569.0,3050.41,1005.0,11599.0,3069.52,1015.0,11715.0,3792.7,1012.0,11672.0,2981.29,1011.0,11642.0,3001.98,991.0,11433.0,3057.71,1013.0,11710.0,3151.49,1017.0,11720.0,3015.95,1009.0,11646.0,3075.9,1010.0,11680.0,3018.32,998.0,11513.0,2967.2,1017.0,11728.0,3085.73,1008.0,11611.0,3096.02,1017.0,11691.0,3622.01,1013.0,11650.0,3159.57,1018.0,11710.0,2977.37,1010.0,11663.0,3092.64,1005.0,11615.0,2983.8,1010.0,11653.0,3115.92,1015.0,11714.0,2923.83,1003.0,11568.0,3152.68,1010.0,11669.0,3379.94,1014.0,11667.0,3156.14,1018.0,11681.0,3087.26,1011.0,11668.0,3092.0,1011.0,11664.0,3054.31,991.0,11474.0,3116.16,1009.0,11635.0,3356.75,1014.0,11655.0,2998.55,1007.0,11606.0,3061.49,1009.0,11603.0,3167.45,1006.0,11603.0,3685.53,1016.0,11686.0,3052.84,1014.0,11650.0,3235.5,1012.0,11651.0,3027.58,1009.6,7.19,11635.7,74.5,1144.13,62142.98,716201.54
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,1014.0,11706.0,5852.36,1029.0,11758.0,5915.11,1020.0,11704.0,5891.67,1024.0,11834.0,6120.74,996.0,11476.0,5984.01,1012.0,11649.0,6001.54,1015.0,11680.0,6026.91,1012.0,11638.0,5955.34,1021.0,11734.0,5938.71,1019.0,11737.0,5894.84,997.0,11532.0,3079.21,1001.0,11596.0,3155.47,1008.0,11654.0,2964.6,1016.0,11676.0,3235.42,1030.0,11835.0,2994.79,1032.0,11930.0,3078.76,1010.0,11659.0,3056.0,1006.0,11595.0,3248.88,1016.0,11683.0,3189.18,1016.0,11698.0,3010.88,999.0,11506.0,3079.1,1007.0,11613.0,3073.12,1002.0,11545.0,3071.52,1004.0,11568.0,3739.24,1015.0,11648.0,3000.97,1013.0,11661.0,3067.51,1014.0,11682.0,3185.48,1008.0,11606.0,2960.41,1017.0,11683.0,3022.15,1005.0,11603.0,3130.36,1011.0,11664.0,2999.99,1005.0,11583.0,3320.63,1005.0,11615.0,3085.63,1011.0,11659.0,3768.39,1011.0,11618.0,2791.92,1022.0,11723.0,2995.03,1008.0,11640.0,3093.09,1010.0,11627.0,3063.87,1013.0,11724.0,3125.0,1008.0,11620.0,3157.55,1009.0,11635.0,3041.22,1010.0,11628.0,3074.25,1015.0,11632.0,3053.37,1003.0,11563.0,3107.81,1015.0,11665.0,3095.88,1001.0,11568.0,3115.31,1006.0,11604.0,3129.33,1007.0,11645.0,3097.83,1010.0,11653.0,3033.49,1004.0,11582.0,3112.67,1011.24,7.96,11650.74,81.07,1159.55,62085.6,715303.16
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,1183.0,15207.0,5595.26,1197.0,15371.0,5723.51,1196.0,15374.0,6300.24,1192.0,15303.0,6222.85,1184.0,15218.0,6188.63,1189.0,15278.0,6236.62,1180.0,15185.0,6231.8,1197.0,15395.0,6224.0,1191.0,15263.0,6205.91,1167.0,14981.0,6099.4,1183.0,15198.0,3594.51,1178.0,15137.0,3690.73,1181.0,15178.0,3656.16,1194.0,15329.0,3538.02,1196.0,15345.0,3800.95,1192.0,15330.0,3669.72,1206.0,15504.0,3694.02,1179.0,15150.0,3661.18,1193.0,15336.0,3658.51,1205.0,15390.0,3727.36,1182.0,15195.0,3398.88,1189.0,15230.0,3800.22,1187.0,15240.0,3640.0,1195.0,15378.0,3576.84,1189.0,15303.0,3453.75,1196.0,15337.0,3776.23,1182.0,15189.0,3511.18,1183.0,15183.0,3659.26,1184.0,15183.0,3703.6,1187.0,15270.0,3519.81,1188.0,15264.0,4073.63,1188.0,15213.0,3563.67,1195.0,15363.0,3484.21,1166.0,15021.0,3676.56,1191.0,15297.0,3931.42,1188.0,15276.0,4003.21,1175.0,15090.0,4357.88,1195.0,15379.0,3651.7,1181.0,15170.0,4193.64,1188.0,15244.0,3538.01,1187.0,15275.0,3783.65,1181.0,15179.0,3765.65,1187.0,15287.0,3500.63,1190.0,15258.0,3868.53,1167.0,15004.0,3478.41,1177.0,15119.0,3506.9,1188.0,15260.0,3659.3,1185.0,15259.0,3851.29,1197.0,15334.0,3804.1,1186.0,15209.0,4092.47,1187.14,8.48,15249.62,104.35,989.03,82919.36,1065155.51
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,1199.0,15356.0,5471.35,1176.0,15070.0,5715.96,1185.0,15299.0,5649.62,1192.0,15285.0,5753.51,1203.0,15475.0,5688.56,1197.0,15381.0,5723.7,1189.0,15320.0,5703.03,1199.0,15414.0,5698.71,1183.0,15173.0,5750.69,1191.0,15295.0,5721.42,1183.0,15170.0,3594.86,1199.0,15389.0,3755.68,1192.0,15299.0,3740.61,1195.0,15344.0,3682.89,1186.0,15238.0,3758.06,1166.0,14989.0,3642.33,1192.0,15277.0,3880.03,1185.0,15180.0,3342.56,1194.0,15322.0,3784.11,1171.0,15026.0,3782.76,1179.0,15155.0,3565.14,1191.0,15264.0,3803.39,1177.0,15098.0,3652.7,1183.0,15199.0,3761.67,1196.0,15313.0,3762.57,1188.0,15235.0,3815.94,1186.0,15241.0,3452.13,1192.0,15285.0,3831.59,1209.0,15532.0,4115.85,1186.0,15237.0,3975.45,1197.0,15353.0,3614.5,1194.0,15331.0,3609.12,1195.0,15329.0,3807.72,1196.0,15347.0,4289.78,1198.0,15316.0,3465.17,1176.0,15116.0,3726.22,1190.0,15261.0,3674.25,1184.0,15178.0,3636.91,1169.0,15000.0,4147.1,1195.0,15306.0,3519.07,1185.0,15253.0,3775.54,1192.0,15291.0,3618.99,1191.0,15303.0,3700.43,1191.0,15253.0,3574.18,1189.0,15259.0,3580.14,1189.0,15259.0,3587.45,1196.0,15362.0,3680.71,1191.0,15303.0,3616.74,1191.0,15256.0,3519.24,1188.0,15236.0,3970.05,1189.22,8.48,15263.46,108.65,813.4,81536.96,1046514.61
