Name,Mean Consumption (J),Mean Real time (s),Mean User time (s)
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,3530.97,1157.8,13074.26
qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,3572.78,1157.34,13080.64
qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,4646.48,1285.22,16836.8
qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,4251.12,1283.4,16827.0
qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,3033.03,4489.76,4486.22
qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,3071.87,4487.72,4484.36
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,3693.12,1009.6,11635.7
qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,3683.73,1011.24,11650.74
qdd-gfortran-linux-MKL-OMP-noStatic-Debug,4190.88,1187.14,15249.62
qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,4113.8,1189.22,15263.46
qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,3107.28,3504.38,3501.08
qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,3167.22,3506.68,3503.38
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,3963.29,1210.82,16492.28
qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,4243.6,842.94,12636.26
qdd-ifort-linux-FFTW-OMP-noStatic-Debug,4665.9,1345.42,20147.72
qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,4581.84,966.82,15119.86
qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,3076.45,4833.34,4829.8
qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,3220.3,3716.08,3712.88
qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,4177.37,1059.08,14816.8
qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,4614.72,699.9,10890.92
qdd-ifort-linux-MKL-OMP-noStatic-Debug,4663.44,1264.46,18873.06
qdd-ifort-linux-MKL-OMP-noStatic-noDebug,4529.92,878.12,13703.72
qdd-ifort-linux-MKL-noOMP-noStatic-Debug,3101.99,3850.58,3847.04
qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,3254.37,2739.5,2736.38
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,3876.42,1537.56,19839.02
qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,4275.46,728.98,11178.7
qdd-ifx-linux-FFTW-OMP-noStatic-Debug,4729.54,1682.96,24315.42
qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,4657.35,807.32,12633.48
qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,3772.6,5517.2,5513.46
qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,3820.13,3309.4,3305.3
qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,4717.3,1421.32,18744.22
qdd-ifx-linux-MKL-OMP-DYN-noStatic-noDebug,5534.69,585.9,9126.2
qdd-ifx-linux-MKL-OMP-noStatic-Debug,5596.19,1595.02,22921.5
qdd-ifx-linux-MKL-OMP-noStatic-noDebug,4967.67,727.5,11355.48
qdd-ifx-linux-MKL-noOMP-noStatic-Debug,3128.14,4566.86,4563.2
qdd-ifx-linux-MKL-noOMP-noStatic-noDebug,3677.95,2356.56,2353.28
