,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,4778.59,4787.03,4778.53,4577.33,4717.56,4405.79,4841.27,4550.64,4558.61,4668.51,3005.8,2966.68,2924.68,3025.58,3009.52,2948.23,3020.68,2955.03,2959.54,3222.29,2978.06,2964.29,2917.7,2915.0,3765.45,2979.63,3007.87,3764.83,2905.91,3791.94,2882.9,3513.15,3321.6,3828.51,2882.0,3575.69,3796.49,3754.06,3753.91,3022.17,2922.03,3795.08,2837.67,2940.92,3795.65,3013.59,3749.0,2895.68,3801.8,3774.01,3530.9695999999994,449631.1707794286
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,4849.76,5292.84,5186.94,5391.32,5257.5,5139.73,5466.09,5377.05,5516.15,5385.71,3749.2,3764.07,3748.32,3765.75,3002.08,3801.91,3771.53,3016.14,2977.41,3031.68,3016.12,2968.41,2946.29,3005.33,2936.2,2962.25,2993.06,2963.17,2950.04,2927.61,3032.5,3020.44,3023.79,3026.78,3148.67,2981.95,2962.58,2909.14,2887.74,3900.88,3799.39,2993.88,3002.66,2878.0,2962.79,2947.38,2955.04,2997.73,3005.0,3043.06,3572.7812000000004,842381.1210066936
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,6064.86,5833.2,6317.8,6147.38,6014.8,5843.64,5817.89,6155.3,5890.66,5402.52,3916.53,3449.18,3708.29,4086.23,3510.28,4463.08,3545.14,4423.98,3618.44,3805.91,4666.77,4986.97,4496.85,4685.36,4958.4,4809.33,4702.74,4781.43,4815.83,4559.28,5267.09,4619.07,4776.53,4690.76,4904.02,4234.27,4554.69,5408.01,4154.84,4466.06,3630.19,4593.21,3498.78,4526.55,4366.51,4386.66,3878.18,3598.6,3572.58,3719.13,4646.475999999999,675325.2658571429
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,6235.44,5655.34,5146.57,4808.03,5198.35,5282.57,5181.64,6194.93,4915.63,5693.75,4454.09,3678.76,3524.94,4511.07,3438.53,4416.61,3465.38,4364.92,3752.9,4452.04,3484.62,4423.07,4180.26,3635.56,4377.76,4417.88,3680.69,4555.77,3730.41,4160.65,3799.09,3784.57,3639.96,4543.75,3852.19,3530.9,3975.54,3541.81,4567.63,3814.87,3789.42,3488.2,4528.82,3837.05,3524.97,3438.57,3897.68,3976.49,3496.76,4509.38,4251.1162,529759.106922
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4156.76,4154.31,4126.9,4292.9,4324.71,4266.21,3907.96,4186.56,5241.25,4229.49,2715.74,2717.8,2718.9,2719.62,2718.93,2719.73,2720.17,2720.9,2719.49,2721.85,2720.57,2721.23,2721.78,2721.74,2720.88,2720.63,2720.71,2720.53,2718.5,2718.94,2719.21,2718.79,2718.34,2718.91,2718.24,2718.34,2718.83,2718.11,2717.76,2717.46,2717.62,2718.21,2718.14,2718.15,2717.79,2719.1,2718.95,2717.66,2718.36,2717.85,3033.0302000000015,425281.35978159186
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4545.78,4446.65,4186.92,4323.21,4798.12,4648.39,4236.03,4586.7,4527.83,4532.96,2718.31,2718.93,2717.85,2716.86,2718.17,2718.22,2718.51,2717.56,2719.52,2718.5,2719.49,2719.16,2720.18,2721.21,2721.32,2721.06,2720.98,2721.47,2721.21,2720.93,2719.93,2720.18,2719.19,2719.19,2719.15,2719.91,2721.35,2718.21,2717.73,2717.58,2717.76,2718.35,2717.95,2717.39,2717.81,2718.13,2717.86,2718.08,2718.09,2717.83,3071.874,514725.14071836736
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,5613.25,5859.96,5996.61,5928.55,5746.45,5984.42,6113.87,6094.35,6046.73,5901.96,3348.4,3047.98,3100.87,3008.29,3001.01,3050.41,3069.52,3792.7,2981.29,3001.98,3057.71,3151.49,3015.95,3075.9,3018.32,2967.2,3085.73,3096.02,3622.01,3159.57,2977.37,3092.64,2983.8,3115.92,2923.83,3152.68,3379.94,3156.14,3087.26,3092.0,3054.31,3116.16,3356.75,2998.55,3061.49,3167.45,3685.53,3052.84,3235.5,3027.58,3693.124799999999,1309024.1522826122
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,5852.36,5915.11,5891.67,6120.74,5984.01,6001.54,6026.91,5955.34,5938.71,5894.84,3079.21,3155.47,2964.6,3235.42,2994.79,3078.76,3056.0,3248.88,3189.18,3010.88,3079.1,3073.12,3071.52,3739.24,3000.97,3067.51,3185.48,2960.41,3022.15,3130.36,2999.99,3320.63,3085.63,3768.39,2791.92,2995.03,3093.09,3063.87,3125.0,3157.55,3041.22,3074.25,3053.37,3107.81,3095.88,3115.31,3129.33,3097.83,3033.49,3112.67,3683.7307999999994,1344551.0491871021
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,5595.26,5723.51,6300.24,6222.85,6188.63,6236.62,6231.8,6224.0,6205.91,6099.4,3594.51,3690.73,3656.16,3538.02,3800.95,3669.72,3694.02,3661.18,3658.51,3727.36,3398.88,3800.22,3640.0,3576.84,3453.75,3776.23,3511.18,3659.26,3703.6,3519.81,4073.63,3563.67,3484.21,3676.56,3931.42,4003.21,4357.88,3651.7,4193.64,3538.01,3783.65,3765.65,3500.63,3868.53,3478.41,3506.9,3659.3,3851.29,3804.1,4092.47,4190.8802000000005,978179.709099959
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,5471.35,5715.96,5649.62,5753.51,5688.56,5723.7,5703.03,5698.71,5750.69,5721.42,3594.86,3755.68,3740.61,3682.89,3758.06,3642.33,3880.03,3342.56,3784.11,3782.76,3565.14,3803.39,3652.7,3761.67,3762.57,3815.94,3452.13,3831.59,4115.85,3975.45,3614.5,3609.12,3807.72,4289.78,3465.17,3726.22,3674.25,3636.91,4147.1,3519.07,3775.54,3618.99,3700.43,3574.18,3580.14,3587.45,3680.71,3616.74,3519.24,3970.05,4113.8036,661613.9887745307
10,qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,4811.22,4650.8,4451.79,4697.21,4911.82,4876.51,4592.98,4403.2,4537.24,4495.86,2811.11,2721.64,2719.92,2718.93,2719.03,2719.58,2718.53,2718.35,2718.7,2718.79,2719.24,2719.11,2718.48,2718.9,2718.89,2719.68,2720.45,2720.31,2721.01,2721.59,2722.02,2721.73,2724.03,2720.65,2735.53,2719.23,2720.65,2719.19,2719.65,2718.61,2719.45,2719.28,2741.19,2718.39,2728.33,2729.12,2719.27,2719.7,2718.81,2718.23,3107.278599999999,607581.2141428979
11,qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,4573.95,5158.56,5183.77,5187.66,5221.29,5151.94,4379.32,4946.48,4900.59,4876.43,2719.01,2719.42,2718.27,2718.83,2719.44,2718.88,2719.51,2720.06,2718.79,2718.61,2719.04,2719.48,2720.62,2720.0,2720.48,2720.94,2721.34,2722.17,2721.76,2721.71,2721.2,2720.48,2720.47,2719.41,2719.18,2718.72,2718.38,2718.93,2718.86,2720.48,2718.99,2719.0,2718.25,2718.53,2718.59,2718.3,2718.77,2719.05,2719.12,2717.78,3167.2167999999983,833257.7514303674
12,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,5492.24,6133.24,5905.85,6250.61,6057.65,5823.12,5585.69,5350.76,6027.26,6055.97,3369.85,3377.0,3386.54,3247.99,3293.36,3400.55,3226.47,3525.51,3247.0,3593.55,3414.22,3559.78,3787.57,4296.71,2781.11,2860.84,3181.42,3636.45,3375.46,3733.46,3907.76,3323.02,3557.81,4661.3,3167.32,3072.83,3490.5,3460.63,4256.39,2764.99,4574.99,3359.41,3573.85,3626.29,2765.11,3568.31,4324.93,2802.82,3691.61,3237.42,3963.2904000000003,1107805.783897796
13,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,6330.7,6356.85,6594.31,6174.03,6428.17,6275.88,6109.12,6298.34,6483.01,6345.3,3753.36,3673.52,3714.06,3599.9,3816.45,3862.41,3605.1,3829.09,3531.7,3884.3,3934.39,3473.82,3764.42,3536.24,3856.66,3568.26,3503.86,3347.81,4429.44,3309.04,3904.89,3572.91,3400.37,4731.52,3561.01,3965.33,3981.25,3082.9,4047.88,3050.05,4012.65,3434.64,3744.69,3415.24,3975.81,4404.17,3398.84,3975.74,3420.75,3709.65,4243.5966,1216725.7625739186
14,qdd-ifort-linux-FFTW-OMP-noStatic-Debug,6242.46,6317.91,6380.58,6326.09,6666.21,6607.49,6627.07,6716.45,6653.47,6354.53,3744.09,4852.31,3828.87,4017.48,4696.18,3891.98,4295.09,3783.19,4539.09,4475.91,4231.77,3909.74,4320.02,4184.97,4031.11,4231.9,4443.38,3809.87,4451.01,4093.99,5061.39,4448.52,4031.24,4809.42,4604.26,4060.82,4231.43,3803.71,3603.96,4273.41,4214.06,4243.49,4664.53,4110.08,3960.27,4112.13,3871.86,4239.64,4126.96,4099.73,4665.902399999999,940763.3377777959
15,qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,5712.83,5758.08,5849.9,5573.44,5601.68,5808.32,5444.02,5657.54,5596.02,5677.95,4831.81,3810.9,5003.55,4126.98,4139.03,5058.27,4084.56,4252.98,4440.59,3821.32,4987.17,4176.49,4630.15,3906.8,4232.39,4341.21,4273.95,4616.61,4282.76,4301.62,4316.78,3948.77,4298.78,5049.78,3961.48,4591.18,3859.05,4189.62,4327.13,3678.82,5799.53,4112.69,4004.41,3981.57,3979.95,3844.08,4486.57,4210.82,4037.54,4414.73,4581.844,450276.0243102041
16,qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,5365.3,4931.99,4824.1,3766.66,3955.03,4403.25,4406.27,4402.18,4372.93,4591.89,2763.1,2721.17,2720.67,2719.94,2719.46,2718.29,2718.48,2717.58,2718.22,2718.11,2717.53,2717.8,2717.23,2717.53,2717.76,2718.01,2719.55,2718.14,2717.78,2718.56,2719.71,2719.93,2720.03,2720.66,2720.8,2721.18,2720.97,2720.42,2719.41,2719.21,2719.0,2719.73,2719.09,2717.92,2718.7,2718.45,2718.38,2717.82,2718.31,2718.1,3076.446600000001,557765.3691820818
17,qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,5414.89,5028.82,4905.04,5124.97,4900.83,5376.14,5727.62,5222.72,5320.16,5224.22,2718.44,2717.82,2718.24,2718.17,2718.12,2719.23,2717.73,2717.85,2720.08,2719.28,2719.71,2719.63,2719.89,2720.67,2721.23,2721.34,2721.01,2720.16,2720.03,2720.15,2719.45,2718.67,2719.01,2718.81,2717.07,2718.92,2717.85,2718.77,2719.11,2718.97,2719.8,2719.11,2719.93,2719.55,2719.39,2719.58,2719.13,2719.39,2718.87,2719.55,3220.3023999999987,1036504.7314961633
18,qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,5943.72,5041.52,6097.73,6009.48,6083.79,6409.8,5982.65,5880.9,6397.12,6457.26,4354.38,3485.22,3302.9,4048.99,3423.19,3441.08,3386.52,3728.34,3542.31,3608.79,3261.15,4090.08,3620.09,3784.92,3876.52,3827.08,3263.28,3714.13,3584.34,3162.93,3955.47,3472.69,3828.13,3664.89,3476.63,3616.63,3636.98,3852.1,3618.01,3735.51,4422.18,3582.78,4060.34,4429.64,3505.64,3902.13,4300.27,3446.27,3808.97,3743.21,4177.373600000001,984917.5582275917
19,qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,6596.1,6532.2,6449.65,5723.33,6410.44,6586.36,6408.86,6394.88,6425.34,6409.8,4056.71,4250.22,3736.84,4102.34,4122.84,3912.32,4443.57,3996.33,4338.35,3901.81,4344.3,3834.51,4264.83,4278.78,5027.93,3716.3,4470.22,4951.63,4886.06,4024.85,4026.42,4009.67,3890.72,3768.09,4411.76,3893.96,4687.19,4058.91,3991.08,3868.5,4345.67,4131.02,3372.42,5101.21,3713.41,4559.58,4201.85,3497.62,4449.48,4159.54,4614.716,942603.411510204
20,qdd-ifort-linux-MKL-OMP-noStatic-Debug,6384.81,6404.04,6356.2,6372.76,6386.76,6245.49,6377.15,6484.09,6463.95,6318.9,4505.22,3932.12,4096.18,4523.0,4426.87,3861.74,4199.08,3944.45,3826.8,4505.78,4569.87,3797.57,4114.35,4436.33,4153.12,4506.99,4432.94,4711.84,4129.12,3870.77,4195.25,3950.01,3887.85,4504.91,4741.92,3725.9,4479.37,3926.3,4175.25,3860.56,4230.61,4276.78,4736.68,4347.1,4165.2,4508.82,3792.24,4404.79,4097.24,4826.85,4663.4384,826483.8838218777
21,qdd-ifort-linux-MKL-OMP-noStatic-noDebug,5832.04,5610.7,5818.72,5984.38,5576.45,5703.05,5787.92,5741.61,5720.65,5713.51,3907.85,4677.34,3839.93,4049.11,4969.6,3901.3,4032.41,4171.6,4211.59,4017.89,4238.53,4593.97,3833.46,4676.36,4363.89,3941.78,3620.59,5606.99,3932.48,4349.78,4084.75,3934.48,4515.91,3771.85,4466.29,4068.75,3442.84,4371.23,4241.4,4312.48,5193.05,3891.6,4509.14,4412.78,4352.61,4166.7,4047.37,4423.78,3712.53,4151.14,4529.923200000001,521069.4617732244
22,qdd-ifort-linux-MKL-noOMP-noStatic-Debug,4725.33,4622.89,4486.03,4457.05,4638.94,4678.24,4705.68,4661.4,4383.08,4812.11,2765.54,2722.4,2720.76,2720.65,2722.05,2722.62,2722.68,2723.66,2723.36,2723.76,2723.05,2723.08,2722.81,2721.62,2721.05,2721.18,2720.69,2720.39,2720.58,2720.5,2720.08,2722.67,2722.75,2722.21,2721.82,2721.72,2722.74,2722.66,2722.29,2724.21,2723.81,2723.65,2724.35,2723.61,2722.69,2721.22,2721.88,2721.48,2720.13,2720.33,3101.989600000001,588914.3305345306
23,qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,5717.91,5669.3,5469.86,5376.36,5305.15,5270.27,5280.42,5414.75,5181.51,5158.5,2720.93,2722.29,2722.09,2722.6,2722.13,2721.33,2720.52,2722.02,2722.27,2723.06,2722.86,2723.71,2723.77,2723.22,2722.51,2722.18,2721.64,2720.68,2720.11,2720.58,2721.14,2722.22,2722.04,2721.01,2721.43,2721.79,2720.51,2721.22,2721.61,2722.31,2722.37,2722.49,2722.36,2723.49,2722.91,2722.87,2721.59,2720.77,2719.75,2720.26,3254.3733999999986,1163997.2572800408
24,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,6194.17,6005.42,5473.48,5930.46,6165.24,5929.0,5544.9,5786.04,5789.93,5841.64,2786.67,3262.61,3354.57,3476.09,3392.17,3322.2,3300.13,4273.96,2884.93,3313.01,3556.8,2802.09,3573.03,3188.27,3235.63,3241.85,2807.37,3072.16,3570.19,3339.33,3407.15,3339.48,3483.86,3155.29,5170.05,2800.24,3939.41,3051.45,3643.79,3627.3,3341.52,3046.19,3277.23,3489.4,3203.44,3458.59,3489.86,3152.1,3467.42,3863.7,3876.4162,1162954.0021138368
25,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,6203.31,6187.79,6172.48,6292.52,6275.65,6202.43,6230.79,6535.07,6285.83,6163.66,3363.65,3668.22,3831.91,3391.47,3655.39,4030.86,3638.34,3561.85,3949.02,3676.43,4455.04,3393.3,4092.53,3246.22,4043.81,3478.06,4348.78,3676.68,3859.24,3238.32,4518.25,3478.89,5194.38,3359.18,3226.75,3965.04,3969.29,4401.43,3317.27,3986.09,3731.96,3974.37,4294.88,3373.66,4086.22,3741.66,3675.8,3521.18,3177.12,3631.18,4275.464999999999,1148062.9149846938
26,qdd-ifx-linux-FFTW-OMP-noStatic-Debug,6569.0,6369.17,6492.52,6523.49,6426.77,6231.04,6101.09,6284.15,6334.72,6210.45,4402.1,3877.77,4362.72,4161.13,4189.2,4496.24,4658.6,4527.57,4009.52,4386.15,4047.69,4402.89,3691.58,5235.58,4342.36,3887.61,4239.13,3834.55,4335.81,4073.72,4445.92,4247.75,3925.68,4512.28,4495.59,4131.41,4149.36,3859.87,4538.36,3797.67,6299.49,3856.59,5999.85,4013.56,4213.75,3804.09,4307.13,4154.93,4938.44,4080.86,4729.538,901539.4449836735
27,qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,6104.88,5913.72,5750.74,5785.5,5642.75,5742.0,6102.77,5505.53,5538.6,5474.98,4690.96,3885.21,4628.59,3918.6,4018.54,5384.15,4150.48,3678.33,4296.16,4305.25,4196.78,4475.37,3942.85,4548.83,4300.75,4296.62,4481.1,4290.52,4396.99,4653.81,4001.91,4811.3,4044.16,4372.48,4284.38,3896.32,5173.51,4123.37,4608.06,4686.35,4470.66,3971.03,4092.74,5598.55,4757.31,4062.55,4564.55,4319.83,4894.48,4032.6,4657.349999999999,452622.85772653064
28,qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,5515.74,5254.7,5256.28,5255.11,4913.7,4748.11,4527.4,4463.99,4557.45,4776.97,3523.99,3589.04,3588.56,3582.64,3604.08,3585.1,3594.26,3596.43,3590.1,3589.6,3589.25,3606.58,2840.28,3523.1,2832.62,3525.18,3603.18,3565.73,3594.99,3560.83,3589.8,3579.11,3561.78,3579.88,3584.36,3585.63,3599.53,3584.44,3588.5,2838.58,3533.15,3588.98,3602.9,2834.98,3521.09,2833.34,3520.65,3594.64,3556.51,3597.3,3772.6027999999997,414611.9740613877
29,qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,4766.68,5280.9,5397.14,4915.77,5088.82,4979.55,4987.13,4484.49,4799.23,5125.79,3549.78,3518.47,3535.67,3516.09,3537.05,3582.53,3539.92,3516.56,3498.72,3515.41,3492.29,3535.62,3566.4,3533.54,3515.97,3541.39,3543.65,3525.77,3522.89,3543.2,3530.79,3545.72,3535.86,3530.5,3536.51,3528.82,3538.47,3530.54,3536.23,3537.68,3524.86,3539.51,3495.4,3532.8,3525.23,3539.47,3498.49,3531.73,3495.11,3516.5,3820.1328,357725.15448587755
30,qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,5838.63,5952.57,5707.28,5991.65,5751.82,5880.15,5615.4,5771.58,5638.3,5397.67,4763.94,4013.42,3875.77,4173.57,3742.35,5218.01,4226.12,4312.22,4064.07,4664.04,4417.64,4141.24,4440.29,4966.78,4577.93,4520.79,4482.62,3884.69,4453.06,3717.44,5188.63,5058.21,4356.43,4332.08,5106.51,4850.84,4315.26,4296.19,4878.07,4364.39,4383.96,4636.63,4300.29,4097.91,4551.42,4493.73,4663.62,4658.52,4443.47,4687.93,4717.302600000001,390277.31897881627
