,Experiment,Real time 1 (s),Real time 2 (s),Real time 3 (s),Real time 4 (s),Real time 5 (s),Real time 6 (s),Real time 7 (s),Real time 8 (s),Real time 9 (s),Real time 10 (s),Real time 11 (s),Real time 12 (s),Real time 13 (s),Real time 14 (s),Real time 15 (s),Real time 16 (s),Real time 17 (s),Real time 18 (s),Real time 19 (s),Real time 20 (s),Real time 21 (s),Real time 22 (s),Real time 23 (s),Real time 24 (s),Real time 25 (s),Real time 26 (s),Real time 27 (s),Real time 28 (s),Real time 29 (s),Real time 30 (s),Real time 31 (s),Real time 32 (s),Real time 33 (s),Real time 34 (s),Real time 35 (s),Real time 36 (s),Real time 37 (s),Real time 38 (s),Real time 39 (s),Real time 40 (s),Real time 41 (s),Real time 42 (s),Real time 43 (s),Real time 44 (s),Real time 45 (s),Real time 46 (s),Real time 47 (s),Real time 48 (s),Real time 49 (s),Real time 50 (s),Mean Real time (s),Variance Real time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,1158.0,1150.0,1166.0,1164.0,1157.0,1157.0,1164.0,1158.0,1153.0,1154.0,1153.0,1159.0,1167.0,1166.0,1150.0,1166.0,1151.0,1145.0,1161.0,1155.0,1156.0,1164.0,1156.0,1150.0,1161.0,1155.0,1169.0,1155.0,1162.0,1154.0,1171.0,1155.0,1154.0,1157.0,1168.0,1153.0,1158.0,1161.0,1154.0,1156.0,1159.0,1147.0,1155.0,1159.0,1153.0,1164.0,1160.0,1167.0,1151.0,1152.0,1157.8,36.244897959183675
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,1148.0,1162.0,1158.0,1158.0,1164.0,1159.0,1161.0,1154.0,1147.0,1158.0,1158.0,1155.0,1164.0,1158.0,1154.0,1163.0,1156.0,1157.0,1164.0,1156.0,1158.0,1168.0,1150.0,1156.0,1157.0,1144.0,1176.0,1157.0,1145.0,1157.0,1151.0,1155.0,1159.0,1152.0,1160.0,1153.0,1148.0,1166.0,1155.0,1151.0,1163.0,1159.0,1161.0,1153.0,1156.0,1157.0,1156.0,1159.0,1166.0,1165.0,1157.34,36.677959183673465
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,1280.0,1289.0,1284.0,1278.0,1296.0,1270.0,1292.0,1281.0,1286.0,1300.0,1274.0,1268.0,1283.0,1277.0,1278.0,1287.0,1279.0,1290.0,1283.0,1284.0,1291.0,1270.0,1286.0,1283.0,1281.0,1295.0,1284.0,1294.0,1300.0,1278.0,1283.0,1292.0,1291.0,1285.0,1276.0,1273.0,1276.0,1274.0,1271.0,1290.0,1284.0,1281.0,1298.0,1292.0,1302.0,1288.0,1287.0,1305.0,1301.0,1291.0,1285.22,82.17510204081634
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,1299.0,1268.0,1275.0,1311.0,1298.0,1270.0,1285.0,1291.0,1283.0,1288.0,1287.0,1284.0,1287.0,1295.0,1283.0,1268.0,1280.0,1291.0,1285.0,1277.0,1272.0,1292.0,1284.0,1272.0,1279.0,1280.0,1277.0,1296.0,1288.0,1270.0,1284.0,1273.0,1288.0,1290.0,1282.0,1298.0,1274.0,1301.0,1275.0,1275.0,1291.0,1299.0,1284.0,1277.0,1274.0,1265.0,1296.0,1290.0,1269.0,1270.0,1283.4,109.18367346938776
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4519.0,4482.0,4496.0,4494.0,4502.0,4474.0,4507.0,4491.0,4513.0,4497.0,4538.0,4478.0,4502.0,4485.0,4493.0,4487.0,4497.0,4476.0,4475.0,4476.0,4483.0,4474.0,4487.0,4485.0,4500.0,4482.0,4483.0,4483.0,4487.0,4483.0,4481.0,4485.0,4494.0,4465.0,4479.0,4484.0,4480.0,4501.0,4478.0,4514.0,4482.0,4491.0,4479.0,4489.0,4472.0,4519.0,4498.0,4497.0,4479.0,4492.0,4489.76,196.26775510204084
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4508.0,4486.0,4502.0,4512.0,4501.0,4488.0,4497.0,4493.0,4497.0,4500.0,4485.0,4508.0,4492.0,4481.0,4464.0,4481.0,4484.0,4474.0,4477.0,4488.0,4474.0,4473.0,4482.0,4487.0,4487.0,4489.0,4494.0,4473.0,4498.0,4478.0,4472.0,4499.0,4485.0,4474.0,4490.0,4475.0,4471.0,4476.0,4493.0,4485.0,4486.0,4485.0,4530.0,4474.0,4483.0,4498.0,4477.0,4498.0,4495.0,4487.0,4487.72,155.43020408163264
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,1017.0,1016.0,998.0,1005.0,995.0,1008.0,1014.0,1028.0,1011.0,1008.0,1010.0,1007.0,997.0,1013.0,1013.0,1001.0,1005.0,1015.0,1012.0,1011.0,991.0,1013.0,1017.0,1009.0,1010.0,998.0,1017.0,1008.0,1017.0,1013.0,1018.0,1010.0,1005.0,1010.0,1015.0,1003.0,1010.0,1014.0,1018.0,1011.0,1011.0,991.0,1009.0,1014.0,1007.0,1009.0,1006.0,1016.0,1014.0,1012.0,1009.6,51.67346938775509
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,1014.0,1029.0,1020.0,1024.0,996.0,1012.0,1015.0,1012.0,1021.0,1019.0,997.0,1001.0,1008.0,1016.0,1030.0,1032.0,1010.0,1006.0,1016.0,1016.0,999.0,1007.0,1002.0,1004.0,1015.0,1013.0,1014.0,1008.0,1017.0,1005.0,1011.0,1005.0,1005.0,1011.0,1011.0,1022.0,1008.0,1010.0,1013.0,1008.0,1009.0,1010.0,1015.0,1003.0,1015.0,1001.0,1006.0,1007.0,1010.0,1004.0,1011.24,63.328979591836735
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,1183.0,1197.0,1196.0,1192.0,1184.0,1189.0,1180.0,1197.0,1191.0,1167.0,1183.0,1178.0,1181.0,1194.0,1196.0,1192.0,1206.0,1179.0,1193.0,1205.0,1182.0,1189.0,1187.0,1195.0,1189.0,1196.0,1182.0,1183.0,1184.0,1187.0,1188.0,1188.0,1195.0,1166.0,1191.0,1188.0,1175.0,1195.0,1181.0,1188.0,1187.0,1181.0,1187.0,1190.0,1167.0,1177.0,1188.0,1185.0,1197.0,1186.0,1187.14,71.83714285714285
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,1199.0,1176.0,1185.0,1192.0,1203.0,1197.0,1189.0,1199.0,1183.0,1191.0,1183.0,1199.0,1192.0,1195.0,1186.0,1166.0,1192.0,1185.0,1194.0,1171.0,1179.0,1191.0,1177.0,1183.0,1196.0,1188.0,1186.0,1192.0,1209.0,1186.0,1197.0,1194.0,1195.0,1196.0,1198.0,1176.0,1190.0,1184.0,1169.0,1195.0,1185.0,1192.0,1191.0,1191.0,1189.0,1189.0,1196.0,1191.0,1191.0,1188.0,1189.22,71.88938775510205
