,Experiment,User time 1 (s),User time 2 (s),User time 3 (s),User time 4 (s),User time 5 (s),User time 6 (s),User time 7 (s),User time 8 (s),User time 9 (s),User time 10 (s),User time 11 (s),User time 12 (s),User time 13 (s),User time 14 (s),User time 15 (s),User time 16 (s),User time 17 (s),User time 18 (s),User time 19 (s),User time 20 (s),User time 21 (s),User time 22 (s),User time 23 (s),User time 24 (s),User time 25 (s),User time 26 (s),User time 27 (s),User time 28 (s),User time 29 (s),User time 30 (s),User time 31 (s),User time 32 (s),User time 33 (s),User time 34 (s),User time 35 (s),User time 36 (s),User time 37 (s),User time 38 (s),User time 39 (s),User time 40 (s),User time 41 (s),User time 42 (s),User time 43 (s),User time 44 (s),User time 45 (s),User time 46 (s),User time 47 (s),User time 48 (s),User time 49 (s),User time 50 (s),Mean User time (s),Variance User time (s)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,13082.0,13015.0,13228.0,13092.0,13067.0,13101.0,13099.0,13033.0,13010.0,13028.0,13016.0,13102.0,13093.0,13080.0,13027.0,13144.0,12987.0,12953.0,13137.0,13058.0,13069.0,13145.0,13021.0,12987.0,13105.0,13075.0,13221.0,13000.0,13075.0,13056.0,13156.0,13071.0,13041.0,13072.0,13186.0,13071.0,13106.0,13148.0,13050.0,13101.0,13095.0,13005.0,13017.0,13104.0,13026.0,13102.0,13117.0,13130.0,12989.0,13020.0,13074.26,3561.869795918368
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,12988.0,13129.0,13130.0,13062.0,13116.0,13097.0,13132.0,13045.0,12963.0,13096.0,13054.0,13019.0,13079.0,13126.0,13052.0,13118.0,13058.0,13037.0,13184.0,13068.0,13074.0,13190.0,13019.0,13080.0,13079.0,12994.0,13219.0,13097.0,13015.0,13061.0,13044.0,13057.0,13077.0,13025.0,13091.0,13066.0,13015.0,13142.0,13060.0,13011.0,13139.0,13055.0,13113.0,13082.0,13080.0,13075.0,13048.0,13124.0,13198.0,13149.0,13080.64,3018.1126530612237
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,16773.0,16826.0,16819.0,16742.0,16922.0,16643.0,16949.0,16804.0,16835.0,17004.0,16701.0,16656.0,16719.0,16738.0,16749.0,16914.0,16765.0,16940.0,16781.0,16824.0,16930.0,16642.0,16768.0,16821.0,16791.0,16984.0,16855.0,16988.0,17045.0,16745.0,16806.0,16961.0,16956.0,16834.0,16729.0,16679.0,16752.0,16690.0,16627.0,16949.0,16831.0,16772.0,16953.0,16902.0,17005.0,16815.0,16854.0,17057.0,17075.0,16920.0,16836.8,13744.040816326531
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,17086.0,16636.0,16738.0,17197.0,17009.0,16635.0,16813.0,16891.0,16805.0,16876.0,16874.0,16843.0,16879.0,17037.0,16816.0,16631.0,16769.0,16856.0,16813.0,16729.0,16709.0,16933.0,16864.0,16682.0,16754.0,16765.0,16767.0,17043.0,16819.0,16668.0,16878.0,16701.0,16884.0,16896.0,16799.0,16933.0,16710.0,17080.0,16725.0,16720.0,16947.0,17033.0,16838.0,16748.0,16679.0,16632.0,17001.0,16888.0,16666.0,16655.0,16827.0,18579.061224489797
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4516.0,4479.0,4492.0,4490.0,4499.0,4470.0,4504.0,4487.0,4509.0,4493.0,4535.0,4475.0,4499.0,4481.0,4489.0,4483.0,4494.0,4472.0,4471.0,4472.0,4479.0,4470.0,4483.0,4482.0,4497.0,4479.0,4480.0,4479.0,4483.0,4479.0,4478.0,4481.0,4491.0,4461.0,4475.0,4481.0,4477.0,4497.0,4474.0,4511.0,4478.0,4488.0,4475.0,4486.0,4469.0,4516.0,4494.0,4494.0,4475.0,4489.0,4486.22,201.56285714285715
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4506.0,4482.0,4498.0,4509.0,4498.0,4485.0,4494.0,4490.0,4494.0,4497.0,4482.0,4505.0,4488.0,4478.0,4461.0,4478.0,4480.0,4471.0,4474.0,4484.0,4470.0,4470.0,4479.0,4484.0,4484.0,4485.0,4491.0,4469.0,4495.0,4475.0,4469.0,4496.0,4481.0,4471.0,4486.0,4471.0,4467.0,4472.0,4490.0,4482.0,4482.0,4482.0,4526.0,4471.0,4479.0,4495.0,4474.0,4494.0,4491.0,4483.0,4484.36,156.64326530612246
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,11683.0,11676.0,11507.0,11628.0,11472.0,11606.0,11639.0,11850.0,11640.0,11632.0,11653.0,11565.0,11507.0,11623.0,11690.0,11569.0,11599.0,11715.0,11672.0,11642.0,11433.0,11710.0,11720.0,11646.0,11680.0,11513.0,11728.0,11611.0,11691.0,11650.0,11710.0,11663.0,11615.0,11653.0,11714.0,11568.0,11669.0,11667.0,11681.0,11668.0,11664.0,11474.0,11635.0,11655.0,11606.0,11603.0,11603.0,11686.0,11650.0,11651.0,11635.7,5550.540816326531
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,11706.0,11758.0,11704.0,11834.0,11476.0,11649.0,11680.0,11638.0,11734.0,11737.0,11532.0,11596.0,11654.0,11676.0,11835.0,11930.0,11659.0,11595.0,11683.0,11698.0,11506.0,11613.0,11545.0,11568.0,11648.0,11661.0,11682.0,11606.0,11683.0,11603.0,11664.0,11583.0,11615.0,11659.0,11618.0,11723.0,11640.0,11627.0,11724.0,11620.0,11635.0,11628.0,11632.0,11563.0,11665.0,11568.0,11604.0,11645.0,11653.0,11582.0,11650.74,6572.604489795917
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,15207.0,15371.0,15374.0,15303.0,15218.0,15278.0,15185.0,15395.0,15263.0,14981.0,15198.0,15137.0,15178.0,15329.0,15345.0,15330.0,15504.0,15150.0,15336.0,15390.0,15195.0,15230.0,15240.0,15378.0,15303.0,15337.0,15189.0,15183.0,15183.0,15270.0,15264.0,15213.0,15363.0,15021.0,15297.0,15276.0,15090.0,15379.0,15170.0,15244.0,15275.0,15179.0,15287.0,15258.0,15004.0,15119.0,15260.0,15259.0,15334.0,15209.0,15249.62,10887.913877551022
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,15356.0,15070.0,15299.0,15285.0,15475.0,15381.0,15320.0,15414.0,15173.0,15295.0,15170.0,15389.0,15299.0,15344.0,15238.0,14989.0,15277.0,15180.0,15322.0,15026.0,15155.0,15264.0,15098.0,15199.0,15313.0,15235.0,15241.0,15285.0,15532.0,15237.0,15353.0,15331.0,15329.0,15347.0,15316.0,15116.0,15261.0,15178.0,15000.0,15306.0,15253.0,15291.0,15303.0,15253.0,15259.0,15259.0,15362.0,15303.0,15256.0,15236.0,15263.46,11804.049387755103
10,qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,3507.0,3505.0,3511.0,3507.0,3507.0,3506.0,3498.0,3501.0,3497.0,3503.0,3504.0,3507.0,3516.0,3497.0,3514.0,3505.0,3496.0,3496.0,3499.0,3497.0,3494.0,3493.0,3502.0,3507.0,3493.0,3496.0,3498.0,3497.0,3505.0,3506.0,3497.0,3502.0,3504.0,3506.0,3501.0,3505.0,3505.0,3505.0,3495.0,3493.0,3495.0,3496.0,3501.0,3498.0,3512.0,3494.0,3494.0,3487.0,3500.0,3500.0,3501.08,36.93224489795918
11,qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,3495.0,3506.0,3511.0,3494.0,3499.0,3507.0,3502.0,3503.0,3511.0,3501.0,3508.0,3499.0,3492.0,3500.0,3499.0,3521.0,3529.0,3496.0,3500.0,3495.0,3514.0,3494.0,3493.0,3513.0,3506.0,3510.0,3499.0,3510.0,3506.0,3502.0,3502.0,3494.0,3510.0,3505.0,3496.0,3502.0,3497.0,3497.0,3503.0,3519.0,3504.0,3509.0,3501.0,3497.0,3507.0,3506.0,3490.0,3507.0,3503.0,3505.0,3503.38,60.40367346938777
12,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,16499.0,16476.0,16477.0,16446.0,16420.0,16464.0,16532.0,16336.0,16502.0,16637.0,16450.0,16477.0,16541.0,16362.0,16454.0,16478.0,16482.0,16436.0,16476.0,16553.0,16345.0,16535.0,16537.0,16490.0,16485.0,16413.0,16547.0,16456.0,16533.0,16515.0,16431.0,16535.0,16599.0,16490.0,16657.0,16589.0,16473.0,16409.0,16576.0,16394.0,16493.0,16468.0,16513.0,16522.0,16439.0,16530.0,16520.0,16520.0,16492.0,16610.0,16492.28,4558.205714285714
13,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,12536.0,12520.0,12663.0,12511.0,12580.0,12783.0,12807.0,12647.0,12555.0,12999.0,12545.0,12747.0,12725.0,12619.0,12676.0,12601.0,12693.0,12618.0,12708.0,12703.0,12604.0,12687.0,12541.0,12669.0,12644.0,12489.0,12542.0,12646.0,12528.0,12561.0,12600.0,12606.0,12637.0,12653.0,12703.0,12632.0,12685.0,12575.0,12611.0,12733.0,12559.0,12525.0,12735.0,12791.0,12632.0,12598.0,12640.0,12527.0,12657.0,12567.0,12636.26,8827.46163265306
14,qdd-ifort-linux-FFTW-OMP-noStatic-Debug,20169.0,19976.0,20076.0,20113.0,20232.0,20094.0,19976.0,20079.0,20169.0,20051.0,20187.0,20063.0,20182.0,20157.0,19954.0,20242.0,20332.0,20300.0,20106.0,20173.0,20074.0,20168.0,20139.0,20292.0,20075.0,20351.0,20246.0,20070.0,19873.0,20062.0,19977.0,20102.0,20106.0,20160.0,20304.0,20328.0,20213.0,20270.0,20324.0,20179.0,20116.0,20044.0,20275.0,20100.0,20008.0,20129.0,20304.0,20120.0,20147.0,20199.0,20147.72,12190.695510204083
15,qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,15277.0,14842.0,15346.0,15256.0,14989.0,14871.0,14994.0,15105.0,15270.0,15138.0,15270.0,14946.0,15030.0,15162.0,15137.0,15148.0,15281.0,15273.0,15290.0,15070.0,15092.0,15229.0,15141.0,15407.0,15164.0,15213.0,15124.0,15245.0,15033.0,14937.0,15272.0,14943.0,14975.0,15261.0,14913.0,14961.0,15088.0,15143.0,15097.0,15097.0,15082.0,15296.0,15006.0,15064.0,15029.0,14885.0,14959.0,15131.0,15188.0,15323.0,15119.86,19322.571836734693
16,qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,4819.0,4837.0,4823.0,4811.0,4840.0,4859.0,4843.0,4846.0,4849.0,4819.0,4805.0,4829.0,4822.0,4850.0,4834.0,4838.0,4805.0,4845.0,4821.0,4833.0,4806.0,4838.0,4830.0,4839.0,4834.0,4836.0,4866.0,4854.0,4813.0,4838.0,4817.0,4846.0,4815.0,4817.0,4850.0,4814.0,4846.0,4793.0,4826.0,4819.0,4830.0,4804.0,4857.0,4818.0,4839.0,4812.0,4852.0,4815.0,4826.0,4812.0,4829.8,281.1020408163265
17,qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,3725.0,3728.0,3703.0,3700.0,3695.0,3722.0,3714.0,3724.0,3694.0,3714.0,3781.0,3692.0,3710.0,3714.0,3704.0,3714.0,3684.0,3733.0,3712.0,3746.0,3690.0,3707.0,3699.0,3721.0,3699.0,3700.0,3678.0,3712.0,3700.0,3721.0,3690.0,3727.0,3734.0,3760.0,3693.0,3804.0,3708.0,3686.0,3720.0,3692.0,3707.0,3682.0,3693.0,3734.0,3691.0,3720.0,3697.0,3757.0,3691.0,3722.0,3712.88,614.1077551020409
18,qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,14892.0,14779.0,14823.0,14881.0,14870.0,14897.0,14780.0,14795.0,14728.0,14722.0,14765.0,14897.0,14703.0,14800.0,14760.0,14776.0,14823.0,14748.0,14970.0,14800.0,14846.0,14898.0,14776.0,14869.0,14651.0,14814.0,14802.0,14672.0,14788.0,14877.0,14706.0,14760.0,15009.0,14889.0,14815.0,14829.0,14847.0,14956.0,14790.0,14858.0,14744.0,14798.0,14935.0,14816.0,14782.0,14754.0,14835.0,14910.0,14800.0,14805.0,14816.8,5605.632653061224
19,qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,10934.0,11079.0,10775.0,11047.0,10704.0,10803.0,10916.0,10939.0,10850.0,10963.0,11014.0,10835.0,11005.0,10969.0,10857.0,10845.0,10723.0,10829.0,10885.0,10921.0,10814.0,10932.0,10871.0,10800.0,10855.0,10974.0,10842.0,10970.0,10998.0,10924.0,10895.0,10881.0,10870.0,10892.0,10876.0,10972.0,10979.0,10862.0,10915.0,10764.0,10864.0,10739.0,10966.0,10949.0,10787.0,10866.0,10859.0,10843.0,10916.0,10978.0,10890.92,6840.564897959185
20,qdd-ifort-linux-MKL-OMP-noStatic-Debug,19032.0,18917.0,19033.0,18954.0,19007.0,19008.0,18891.0,19050.0,19099.0,18756.0,18744.0,18769.0,18870.0,18797.0,18894.0,18896.0,18861.0,18901.0,18911.0,18719.0,18709.0,18774.0,18722.0,18785.0,19004.0,18848.0,18851.0,18764.0,18825.0,18727.0,18911.0,18686.0,18946.0,19003.0,18776.0,18754.0,18929.0,19036.0,18860.0,18916.0,19012.0,18851.0,18692.0,18948.0,18840.0,18822.0,18841.0,18936.0,18744.0,19032.0,18873.06,12163.690204081635
21,qdd-ifort-linux-MKL-OMP-noStatic-noDebug,13679.0,13770.0,14211.0,14070.0,13526.0,13925.0,13728.0,13496.0,13783.0,13477.0,13715.0,13599.0,13708.0,13666.0,13674.0,13638.0,13515.0,13661.0,13702.0,13553.0,13605.0,13581.0,13754.0,13833.0,13844.0,13581.0,13851.0,13561.0,13839.0,13752.0,13646.0,13587.0,13832.0,13691.0,13809.0,13751.0,13658.0,13662.0,13499.0,13712.0,13836.0,13825.0,13822.0,13563.0,13585.0,13539.0,13569.0,13796.0,13724.0,13783.0,13703.72,21043.593469387753
